Programs,0,1,2,3,4,5,6,7,8,9
Aerospace Engineering,2,3,42,0,29,61,5,7,48,56
Agricultural and Environmental Plant Sciences,23,2,17,4,4,163,5,31,13,24
Agricultural Business,13,1,7,0,3,72,5,17,26,16
Agricultural Communication,13,1,12,0,4,55,32,23,13,12
Agricultural Science,27,4,20,1,3,160,17,18,34,19
Agricultural Systems Management,9,1,35,6,3,77,15,19,31,37
Animal Science,22,15,16,6,16,168,11,108,61,52
Anthropology and Geography,77,3,10,8,0,48,25,15,17,17
Architectural Engineering,2,0,15,0,9,24,4,4,23,68
Architecture,13,1,1,0,9,5,6,1,2,63
Art and Design,92,1,18,9,4,21,47,1,15,13
Biochemistry,1,21,5,0,12,24,6,99,25,38
Biological Sciences,44,52,27,22,24,74,29,114,39,50
Biomedical Engineering,3,3,42,0,29,49,18,64,48,69
BioResource and Agricultural Engineering,6,0,28,4,11,34,9,26,17,30
Business Administration,14,1,10,0,2,20,5,2,38,13
Chemistry,4,21,20,0,15,22,5,84,23,31
Child Development,22,33,3,1,1,3,5,18,3,5
City and Regional Planning,103,5,16,10,7,58,26,8,49,43
Civil Engineering,4,2,24,4,17,30,8,18,19,56
Communication Studies,31,2,1,2,0,7,12,2,9,8
Comparative Ethnic Studies,393,23,8,16,1,49,23,10,45,43
Computer Engineering,15,1,88,3,25,50,22,24,39,45
Computer Science,38,19,234,4,26,76,39,55,52,70
Construction Management,5,5,5,0,5,25,7,7,24,80
Dairy Science,4,5,11,3,5,70,10,45,20,21
Economics,5,1,21,0,2,8,2,0,18,8
Electrical Engineering,18,8,223,11,49,109,61,42,90,106
English,64,16,2,5,0,11,5,1,8,7
Environmental Earth and Soil Sciences,86,9,48,13,10,219,38,43,43,52
Environmental Engineering,2,1,19,2,10,27,11,27,15,28
Environmental Management and Protection,95,9,38,13,8,235,36,53,49,53
Food Science,12,1,8,1,6,40,7,42,13,18
Forest and Fire Sciences,92,8,40,13,8,240,38,48,42,48
General Engineering,2,0,17,0,13,29,4,38,23,41
Graphic Communication,11,0,45,50,5,43,118,11,30,19
History,97,6,0,0,0,6,0,0,7,7
Industrial Engineering,21,2,83,18,19,92,21,20,74,78
Industrial Technology and Packaging,1,0,11,2,3,10,5,3,7,4
Interdisciplinary Studies,35,4,4,1,0,3,4,2,4,3
Journalism,16,1,12,1,2,20,47,0,11,6
Kinesiology,42,13,11,17,3,15,19,36,20,18
Landscape Architecture,14,12,9,4,3,13,13,5,5,13
Liberal Arts and Engineering Studies,28,5,71,15,10,45,51,6,33,39
Liberal Studies,173,102,11,7,27,45,18,78,26,37
Manufacturing Engineering,19,0,75,18,20,93,29,31,73,81
Marine Sciences,26,35,27,23,19,53,23,101,31,41
Materials Engineering,2,19,26,5,15,43,21,43,40,62
Mathematics,11,7,34,4,65,39,0,14,35,42
Mechanical Engineering,3,4,68,15,17,66,27,28,45,64
Microbiology,8,3,27,7,12,53,8,89,26,37
Music,9,10,2,9,0,7,6,3,4,8
Nutrition,27,12,7,5,17,33,8,77,27,32
Philosophy,21,4,2,2,2,8,11,9,9,9
Physics,11,0,4,4,11,13,6,15,13,17
Political Science,119,4,9,1,3,20,9,11,31,15
Public Health,107,18,15,4,8,27,28,56,28,30
Psychology,87,17,6,4,3,9,7,25,11,10
"Recreation, Parks, and Tourism Administration",88,11,10,12,6,82,46,11,60,35
Sociology,122,19,3,0,1,33,17,9,34,26
Software Engineering,31,18,197,4,25,68,28,54,48,66
Spanish,212,32,2,27,0,29,22,8,31,38
Statistics,6,0,30,3,20,26,3,2,23,26
Theatre Arts,13,1,4,11,0,14,5,5,7,25
Wine and Viticulture,29,3,7,3,5,95,17,49,43,31
Accounting,0,0,3,1,0,1,2,1,12,1
Consumer Packaging,1,0,3,3,1,5,3,1,6,3
Entrepreneurship,9,1,4,4,0,3,10,1,17,7
"Ethics, Law and Social Justice",47,0,6,1,1,7,6,3,8,9
Financial Management,2,1,14,2,3,13,3,7,14,12
Global Citizenship and Social Sustainability,122,1,0,12,0,21,26,5,10,16
Health and Society,106,14,9,14,4,18,32,20,4,10
Industrial Technology,2,2,6,6,0,15,10,0,19,7
Information Systems,2,2,10,0,0,10,4,0,11,4
Management and Human Resources,5,2,1,0,1,9,8,2,16,7
Marketing Management,3,0,4,2,0,5,7,0,9,3
Packaging Technology,0,1,1,4,0,3,1,3,6,2
Quantitative Analysis,1,0,15,0,27,19,0,0,22,19
Real Estate Finance,0,0,4,2,0,12,1,2,7,8
"Science, Technology and Society",72,3,7,15,1,14,57,27,3,8
Visual Media and Cultural Studies,100,2,3,7,0,24,16,1,16,18
"Bioinformatics, Cross Disciplinary Studies",2,0,19,2,1,12,2,31,11,16
"Data Science, Cross Disciplinary Studies",4,3,20,0,5,14,2,5,11,12
"Heavy Civil, Cross Disciplinary Studies",0,0,5,0,0,15,2,0,4,40
