Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Aerospace Engineering,2,34,0,4,0,0,2,1,2,3,0,0,0,9,0,79,0,11,2,8,5,4,0,0,2
Agricultural and Environmental Plant Sciences,17,13,1,80,1,3,12,3,8,2,12,0,14,1,12,1,2,3,2,0,1,6,24,1,25
Agricultural Business,7,6,1,36,0,0,3,10,1,0,12,0,0,1,46,0,5,2,0,0,4,16,22,0,21
Agricultural Communication,11,4,0,31,10,0,5,5,1,1,7,0,0,0,30,0,0,3,0,0,1,7,15,0,12
Agricultural Science,22,14,2,64,2,1,5,14,2,2,20,0,0,3,57,3,0,2,0,0,2,19,46,1,46
Agricultural Systems Management,9,26,0,28,1,4,2,10,7,7,3,0,0,2,47,9,2,2,0,1,3,11,33,0,53
Animal Science,19,14,11,56,0,3,49,25,4,1,55,0,5,6,83,0,4,13,1,1,7,24,18,4,48
Anthropology and Geography,61,3,0,20,3,8,4,4,3,1,10,0,3,1,9,0,1,0,2,1,1,25,9,0,47
Architectural Engineering,2,9,0,1,1,0,1,0,37,0,0,0,0,1,0,0,0,4,0,4,2,1,7,0,3
Architecture,11,0,1,1,1,0,0,0,57,2,1,0,1,0,0,0,0,3,0,0,0,1,1,0,4
Art and Design,68,4,1,11,29,5,0,7,4,12,0,0,1,2,1,1,8,0,2,0,0,2,0,0,0
Biochemistry,1,2,20,4,1,0,69,5,3,2,8,0,0,0,1,0,0,10,0,2,3,0,3,0,7
Biological Sciences,36,18,50,19,0,11,59,4,2,6,43,1,3,0,7,0,11,23,0,3,13,9,22,0,63
Biomedical Engineering,2,28,1,6,5,0,28,6,5,4,1,0,1,0,5,3,0,23,3,5,7,2,0,0,4
BioResource and Agricultural Engineering,6,17,0,13,3,3,10,3,8,4,1,0,0,0,8,11,1,8,0,2,3,9,14,0,22
Business Administration,10,7,0,0,1,0,0,22,0,0,1,0,1,2,5,0,1,1,0,0,5,29,0,0,0
Chemistry,1,14,20,4,1,0,61,5,1,2,2,0,3,0,1,0,0,11,0,3,3,0,3,0,6
Child Development,19,0,12,0,3,1,7,0,0,0,1,14,0,0,0,0,0,1,0,0,1,0,0,0,3
City and Regional Planning,90,8,1,4,5,9,0,15,7,1,5,0,1,1,4,4,1,5,0,0,7,31,10,0,95
Civil Engineering,3,17,2,3,1,0,8,0,27,4,0,0,1,0,2,3,4,13,3,5,2,2,48,0,27
Communication Studies,25,0,1,0,1,0,0,3,1,4,0,0,1,0,0,1,2,0,0,0,1,3,0,1,0
Comparative Ethnic Studies,268,4,16,14,2,14,0,11,5,3,13,1,4,13,5,8,50,1,10,1,1,50,7,0,21
Computer Engineering,5,56,1,6,11,3,3,3,3,1,2,0,10,4,5,5,0,20,10,9,5,2,0,0,4
Computer Science,6,119,9,9,11,2,24,6,14,6,1,1,28,11,14,5,2,15,4,3,29,11,0,0,10
Construction Management,3,3,5,2,1,0,2,8,60,2,2,0,0,2,0,1,1,3,0,0,3,10,6,0,11
Dairy Science,4,9,3,30,2,1,22,6,2,0,21,0,0,3,82,0,2,4,0,0,4,16,5,0,11
Economics,2,15,0,1,1,0,0,9,1,0,0,0,2,1,0,0,1,0,1,1,5,22,0,0,0
Electrical Engineering,2,121,0,10,37,11,15,8,11,6,0,0,16,16,21,38,0,33,12,33,13,17,2,0,15
English,30,0,4,1,2,2,0,1,0,3,0,0,28,0,0,0,19,0,6,0,2,1,0,0,0
Environmental Earth and Soil Sciences,73,31,6,82,9,13,12,10,6,1,16,0,5,3,17,2,0,7,0,5,4,17,169,0,179
Environmental Engineering,2,17,1,5,0,0,14,0,3,2,3,0,0,0,3,0,2,7,0,6,7,4,20,0,32
Environmental Management and Protection,85,22,6,83,8,13,18,15,6,1,16,0,2,3,19,2,0,5,0,3,4,24,155,0,198
Food Science,6,7,1,15,0,0,17,4,0,0,12,0,0,2,97,0,6,5,0,2,1,2,7,0,10
Forest and Fire Sciences,80,24,6,85,8,13,13,13,7,1,18,0,2,3,18,3,1,5,0,3,4,22,186,0,210
General Engineering,0,14,0,3,0,0,20,0,1,2,0,0,2,1,1,0,0,9,0,7,6,2,2,0,1
Graphic Communication,7,11,0,9,62,23,2,20,5,6,3,0,2,1,11,0,5,3,0,0,1,4,0,0,11
History,78,0,0,0,0,0,0,1,1,2,0,0,12,0,0,1,6,0,3,0,0,16,0,0,2
Industrial Engineering,18,66,2,10,5,16,6,10,7,4,1,0,2,4,9,6,2,14,1,4,17,19,0,0,14
