Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Aerospace Engineering,2,42,0,14,3,0,2,48,50,0,1,0,9,3,145,1,29,2,28,8,5,6,10,13,5,8,1,15,4,0
Agricultural and Environmental Plant Sciences,21,17,1,168,5,3,19,13,12,14,1,24,1,58,14,12,4,2,2,7,6,48,25,5,26,8,7,2,15,18
Agricultural Business,14,7,1,62,3,0,6,26,11,12,3,0,1,70,4,7,3,0,1,7,19,16,22,5,26,3,5,2,14,1
Agricultural Communication,14,12,0,48,32,0,9,13,8,7,4,0,0,50,3,0,4,0,2,5,12,13,15,6,18,4,2,3,7,7
Agricultural Science,28,20,2,148,17,1,9,34,20,22,2,1,3,137,16,9,3,0,1,6,29,57,51,11,57,4,9,2,33,15
Agricultural Systems Management,9,35,0,58,10,4,8,31,36,6,2,0,2,80,35,7,3,0,4,13,13,34,44,13,60,7,4,15,36,3
Animal Science,20,16,12,139,11,3,94,61,44,59,4,8,6,209,15,10,16,1,7,15,31,87,22,26,62,18,5,4,36,63
Anthropology and Geography,77,10,1,35,14,8,11,17,26,12,14,5,1,20,2,17,0,2,3,5,36,14,12,12,107,1,35,1,9,25
Architectural Engineering,2,15,0,1,3,0,1,23,23,0,0,0,1,0,6,1,9,0,12,5,2,38,8,6,4,32,2,5,2,0
Architecture,12,1,1,3,5,0,0,2,4,1,0,1,0,5,5,3,9,0,1,0,1,66,2,3,8,33,11,3,2,0
Art and Design,116,18,1,13,48,9,0,15,25,0,0,1,2,3,9,11,4,2,1,0,6,25,1,5,4,1,5,1,6,4
Biochemistry,1,5,20,4,5,0,96,25,22,8,7,0,0,2,1,0,12,0,6,6,0,3,3,15,8,15,0,29,3,11
Biological Sciences,41,27,51,39,22,11,101,39,56,48,17,4,0,23,10,24,24,0,7,23,9,18,22,9,94,13,15,3,9,72
Biomedical Engineering,4,42,2,7,14,0,48,48,48,5,1,1,0,7,20,3,29,3,19,12,3,30,3,10,9,20,1,31,15,8
BioResource and Agricultural Engineering,6,28,0,20,6,3,18,17,23,3,0,0,0,15,29,4,11,0,11,7,9,13,25,7,26,12,1,10,13,8
Business Administration,14,10,0,8,5,0,0,38,12,1,1,1,2,10,4,4,2,0,0,9,42,7,0,4,0,1,11,2,14,0
Chemistry,1,20,20,4,4,0,72,23,20,2,8,3,0,1,4,0,15,0,15,9,0,1,3,15,6,12,0,29,3,12
Child Development,23,3,46,0,5,1,18,3,4,4,17,0,0,0,0,1,1,0,1,4,1,0,0,3,11,2,4,1,0,15
City and Regional Planning,121,16,6,24,19,10,2,49,48,6,8,1,1,23,11,15,7,0,2,16,38,39,15,10,148,4,70,4,7,10
Civil Engineering,4,24,2,11,2,0,11,19,23,0,0,1,0,8,17,4,17,3,16,5,4,33,72,5,28,21,4,7,2,14
Communication Studies,34,1,4,1,12,0,0,9,12,0,0,1,0,1,2,4,0,0,1,4,3,5,1,2,4,1,1,1,1,1
Comparative Ethnic Studies,430,8,31,15,16,14,3,45,57,16,13,12,14,6,11,83,1,10,3,7,81,11,8,10,63,2,47,5,5,11
Computer Engineering,7,88,1,14,19,3,3,39,41,3,2,10,5,14,15,4,25,10,25,5,3,28,2,12,10,5,1,54,29,1
Computer Science,10,234,9,30,33,2,34,52,55,3,2,29,11,36,32,12,26,6,25,37,12,61,3,27,18,15,1,29,31,15
Construction Management,5,5,5,12,5,0,2,24,17,2,1,0,2,12,5,1,5,0,2,5,14,76,10,3,14,23,12,5,5,0
Dairy Science,5,11,3,62,9,1,33,20,13,24,1,0,3,133,8,4,5,0,4,9,20,32,6,11,15,8,1,4,17,10
Economics,3,21,0,1,2,0,0,18,7,0,1,2,1,0,3,1,2,1,3,8,27,5,0,1,0,1,2,1,1,0
Electrical Engineering,3,223,0,27,60,11,20,90,102,3,2,16,18,39,84,14,49,12,73,14,19,61,8,21,19,17,1,87,35,13
English,52,2,4,4,4,2,0,8,12,0,0,50,0,1,0,22,0,6,0,2,2,4,0,12,2,0,1,0,0,1
Environmental Earth and Soil Sciences,85,48,7,194,24,13,27,43,52,18,10,10,3,97,33,18,10,0,8,13,32,85,216,18,254,15,39,9,33,61
Environmental Engineering,3,19,1,12,7,0,21,15,17,8,0,0,1,10,21,4,10,0,14,11,6,12,31,10,37,7,10,4,6,5
Environmental Management and Protection,97,38,7,209,22,13,37,49,57,20,9,5,3,110,22,15,8,0,6,17,37,95,191,18,269,15,48,8,36,92
Food Science,14,8,3,32,5,0,25,13,11,14,5,0,2,119,9,7,6,0,4,7,3,14,9,8,18,7,1,4,29,9
Forest and Fire Sciences,94,40,7,220,23,13,32,42,50,22,10,5,3,121,24,16,8,0,5,14,40,105,221,21,288,14,52,10,35,81
