Programs,0,1,2,3,4,5,6,7,8,9
Aerospace Engineering,2,0,0,2,55,2,9,1,0,0
Agricultural and Environmental Plant Sciences,17,5,14,1,8,18,1,3,24,12
Agricultural Business,7,0,0,1,11,6,1,10,22,12
Agricultural Communication,11,0,0,26,7,8,0,5,15,7
Agricultural Science,22,1,0,12,14,9,3,14,46,20
Agricultural Systems Management,9,4,0,6,30,8,2,10,33,3
Animal Science,19,4,5,3,33,61,6,25,18,55
Anthropology and Geography,61,8,3,3,13,11,0,4,9,10
Architectural Engineering,2,0,0,3,24,1,1,0,7,0
Architecture,11,0,1,5,2,0,0,0,1,1
Art and Design,68,3,1,27,11,0,2,7,0,0
Biochemistry,1,0,0,0,22,65,0,5,3,8
Biological Sciences,36,18,3,4,41,66,0,4,22,43
Biomedical Engineering,2,0,1,7,49,29,0,6,0,1
BioResource and Agricultural Engineering,6,3,0,4,18,16,0,3,14,1
Business Administration,10,0,1,1,15,0,2,22,0,1
Chemistry,1,0,3,0,20,62,0,5,3,2
Child Development,19,1,0,3,3,11,0,0,0,1
City and Regional Planning,90,9,1,8,38,2,1,15,10,5
Civil Engineering,3,2,1,1,24,10,0,0,41,0
Communication Studies,25,1,1,10,8,0,0,3,0,0
Comparative Ethnic Studies,268,15,4,6,35,3,14,11,8,13
Computer Engineering,5,2,10,11,44,3,3,3,0,2
Computer Science,6,3,28,18,58,25,11,6,0,1
Construction Management,3,0,0,2,15,2,2,8,6,2
Dairy Science,4,2,0,7,10,26,3,6,5,21
Economics,2,0,2,0,7,0,1,9,0,0
Electrical Engineering,2,11,16,53,90,17,15,8,2,0
English,30,5,28,3,10,0,0,1,0,0
Environmental Earth and Soil Sciences,73,13,5,11,35,26,3,10,163,16
Environmental Engineering,2,1,0,1,18,20,0,0,20,3
Environmental Management and Protection,85,13,2,11,34,32,3,15,150,16
Food Science,6,0,0,0,9,22,2,4,7,12
Forest and Fire Sciences,80,13,2,11,29,27,3,13,181,18
General Engineering,0,0,2,4,27,22,1,0,3,0
Graphic Communication,7,3,2,83,18,2,1,20,0,3
History,78,0,12,0,6,0,0,1,0,0
Industrial Engineering,18,11,2,8,75,8,4,10,0,1
Industrial Technology and Packaging,1,1,0,1,4,1,1,6,0,1
Interdisciplinary Studies,23,0,1,3,3,0,0,1,0,0
Journalism,11,2,0,29,6,0,1,5,0,0
Kinesiology,31,9,2,13,20,21,4,11,0,108
Landscape Architecture,11,1,0,10,3,3,0,2,6,2
Liberal Arts and Engineering Studies,17,3,9,27,30,1,7,6,0,0
Liberal Studies,129,7,9,2,24,40,5,8,5,28
Manufacturing Engineering,17,12,2,8,75,12,4,12,0,1
Marine Sciences,22,21,3,5,29,52,2,5,15,7
Materials Engineering,0,4,1,3,36,18,4,8,1,1
Mathematics,1,2,9,0,36,4,3,2,0,0
Mechanical Engineering,2,8,1,16,62,6,7,0,5,0
Microbiology,6,5,2,1,26,60,1,3,10,25
Music,6,9,0,1,13,0,82,0,0,0
Nutrition,15,1,1,6,18,41,5,9,1,76
Philosophy,18,1,0,0,8,1,0,1,0,2
Physics,11,4,0,2,14,4,0,0,0,0
Political Science,97,0,4,4,12,1,0,19,4,2
Public Health,73,3,27,15,14,27,2,15,1,122
Psychology,60,4,3,2,10,13,0,4,0,9
"Recreation, Parks, and Tourism Administration",71,10,1,11,34,2,2,33,1,11
Sociology,90,0,3,7,21,1,1,14,0,1
Software Engineering,4,3,26,12,53,26,7,4,0,1
Spanish,135,18,25,8,35,0,10,5,0,8
Statistics,1,2,5,1,26,0,2,0,0,0
Theatre Arts,8,8,2,1,12,0,12,1,0,0
Wine and Viticulture,20,2,17,3,21,31,1,22,14,7
Accounting,0,1,0,0,0,0,0,1,0,0
Consumer Packaging,1,0,0,2,2,0,0,4,0,0
Entrepreneurship,8,2,0,2,10,0,0,15,0,0
"Ethics, Law and Social Justice",35,1,0,2,7,1,0,1,0,1
Financial Management,1,2,1,0,5,0,0,7,0,0
Global Citizenship and Social Sustainability,95,11,2,6,8,0,0,2,4,0
Health and Society,79,14,1,7,4,12,0,0,0,31
Industrial Technology,2,3,0,1,8,0,2,14,0,0
Information Systems,1,0,1,0,3,0,1,8,0,0
Management and Human Resources,4,0,0,0,8,0,7,13,0,0
Marketing Management,3,2,0,5,5,0,0,6,0,0
Packaging Technology,0,2,0,0,2,0,0,5,0,0
Quantitative Analysis,0,0,1,0,19,0,1,4,0,0
Real Estate Finance,0,2,0,0,4,0,0,3,4,0
"Science, Technology and Society",58,14,2,14,3,1,0,1,0,6
Visual Media and Cultural Studies,71,7,3,5,17,0,15,0,0,0
"Bioinformatics, Cross Disciplinary Studies",0,1,2,0,14,22,2,1,0,0
"Data Science, Cross Disciplinary Studies",0,0,4,0,12,0,2,1,0,0
"Heavy Civil, Cross Disciplinary Studies",0,0,0,0,4,0,1,0,0,0
