Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Aerospace Engineering,10,48,1,62,5,0,4,48,56,9,10,3,9,6,236,1,32,2,58,21,5,6,10,14,7,17,9,18,5,0
Agricultural and Environmental Plant Sciences,25,18,1,207,6,3,32,13,18,19,1,35,1,89,27,12,5,2,2,10,7,52,27,5,30,8,10,5,19,22
Agricultural Business,18,7,3,83,5,0,17,26,25,20,3,3,1,84,15,7,4,0,1,10,23,17,23,5,26,4,5,3,17,2
Agricultural Communication,16,12,2,62,33,0,23,13,11,16,4,9,0,63,10,0,5,0,2,8,16,16,16,6,18,8,2,4,9,8
Agricultural Science,40,23,8,189,18,1,21,34,33,34,2,5,3,183,45,14,4,0,5,7,34,60,53,11,62,9,10,5,39,21
Agricultural Systems Management,17,43,5,79,16,4,18,31,46,20,7,6,2,100,75,7,4,0,16,17,17,38,46,13,65,9,14,19,50,8
Animal Science,28,16,27,190,11,5,148,61,63,100,6,26,6,263,55,10,20,1,19,20,42,93,26,26,75,36,12,10,44,72
Anthropology and Geography,98,10,30,51,25,8,21,17,26,29,14,8,1,32,16,17,0,2,9,7,36,18,16,13,180,10,41,1,10,42
Architectural Engineering,4,15,1,24,7,0,3,23,25,7,1,1,1,1,39,1,11,0,23,12,2,38,8,6,6,40,3,5,2,0
Architecture,15,1,6,5,9,0,0,2,5,6,0,2,0,6,9,3,12,0,4,0,1,72,2,3,8,39,11,4,2,0
Art and Design,118,19,18,22,87,9,0,16,37,3,4,7,2,14,17,11,4,2,1,0,8,38,3,5,4,2,8,9,7,4
Biochemistry,2,5,34,26,6,3,120,25,26,21,7,15,0,4,29,0,15,0,15,9,0,4,3,15,9,15,2,31,3,12
Biological Sciences,45,28,108,82,29,12,145,40,57,64,17,19,0,28,56,24,27,0,13,30,15,18,26,9,144,19,15,7,15,97
