Programs,0,1,2,3,4,5,6,7,8,9
Aerospace Engineering,10,13,95,0,47,63,6,7,52,64
Agricultural and Environmental Plant Sciences,39,6,28,5,5,221,7,44,13,26
Agricultural Business,23,7,18,5,5,113,6,24,28,18
Agricultural Communication,27,7,19,0,6,84,33,32,13,17
Agricultural Science,46,19,37,1,5,220,19,28,35,28
Agricultural Systems Management,22,16,63,6,9,114,19,25,31,43
Animal Science,40,46,48,9,28,235,14,186,62,75
Anthropology and Geography,121,34,26,9,2,64,25,22,18,26
Architectural Engineering,5,7,38,0,22,25,9,4,26,81
Architecture,16,8,4,0,21,5,16,1,2,75
Art and Design,124,21,28,17,4,22,105,1,16,23
Biochemistry,2,35,25,3,28,37,12,147,40,38
Biological Sciences,59,77,66,23,30,101,38,176,68,59
Biomedical Engineering,14,13,104,1,47,54,26,93,54,92
BioResource and Agricultural Engineering,17,8,52,4,22,39,13,36,18,36
Business Administration,29,7,22,3,4,29,7,2,40,18
Chemistry,5,35,41,3,29,34,10,114,38,31
Child Development,24,59,6,1,2,5,5,29,4,14
City and Regional Planning,176,58,54,11,11,73,40,8,50,61
Civil Engineering,12,10,47,4,29,33,10,24,21,65
Communication Studies,46,12,8,2,0,7,16,2,9,11
Comparative Ethnic Studies,511,108,53,64,3,64,28,10,49,52
Computer Engineering,22,14,164,3,42,58,23,30,39,61
Computer Science,59,37,358,4,44,90,60,75,61,92
Construction Management,10,10,19,1,13,25,9,7,30,100
Dairy Science,16,15,21,5,6,126,12,71,21,27
Economics,16,3,30,1,6,10,2,0,18,14
Electrical Engineering,47,22,415,11,73,119,70,56,93,139
English,94,20,26,21,1,12,9,1,10,8
Environmental Earth and Soil Sciences,130,50,89,13,27,285,49,62,44,78
Environmental Engineering,13,11,34,2,16,34,16,44,16,31
Environmental Management and Protection,144,53,76,13,21,313,48,74,50,79
Food Science,20,14,17,6,10,99,12,54,14,23
Forest and Fire Sciences,140,54,74,14,25,315,50,68,43,77
General Engineering,8,5,44,0,21,36,5,51,25,47
Graphic Communication,16,9,60,51,6,59,164,15,35,26
History,134,15,13,6,0,8,2,0,7,7
Industrial Engineering,43,20,155,18,31,104,23,29,78,104
Industrial Technology and Packaging,4,5,14,2,7,12,6,3,7,7
Interdisciplinary Studies,49,12,7,3,1,5,4,2,5,4
Journalism,46,11,21,6,3,23,65,0,12,8
Kinesiology,55,70,22,20,5,24,23,47,20,34
Landscape Architecture,21,15,12,4,21,17,20,6,5,20
Liberal Arts and Engineering Studies,39,17,119,19,19,47,61,6,36,52
Liberal Studies,243,167,40,25,42,60,24,106,57,48
Manufacturing Engineering,42,19,147,18,33,105,32,41,78,121
Marine Sciences,43,55,58,25,29,70,28,129,54,44
Materials Engineering,18,34,58,6,34,51,25,51,51,89
Mathematics,16,15,79,5,91,42,4,15,35,48
Mechanical Engineering,18,21,136,17,34,71,35,32,50,109
Microbiology,15,8,52,8,17,91,11,145,28,39
Music,14,11,6,12,0,10,7,3,4,8
Nutrition,40,40,25,12,25,59,16,127,27,43
Philosophy,37,16,11,3,3,10,11,10,9,10
Physics,13,9,17,4,18,13,7,15,13,17
Political Science,167,32,30,6,4,35,14,11,31,26
Public Health,145,78,38,6,8,49,37,81,29,51
Psychology,105,62,17,8,4,11,8,37,11,23
"Recreation, Parks, and Tourism Administration",128,61,37,21,10,126,52,12,64,52
Sociology,158,80,31,3,1,41,21,9,34,34
Software Engineering,50,38,313,4,43,82,40,79,56,88
Spanish,296,75,49,44,0,33,29,8,41,44
Statistics,9,1,67,3,37,27,6,2,23,31
Theatre Arts,19,8,12,26,1,14,10,5,7,30
Wine and Viticulture,60,11,29,4,7,149,20,69,47,35
Accounting,2,0,3,4,0,1,2,1,12,2
Consumer Packaging,1,2,5,3,1,8,8,1,7,6
Entrepreneurship,10,8,6,4,0,7,13,2,21,11
"Ethics, Law and Social Justice",73,12,15,2,1,11,8,3,8,13
Financial Management,13,2,22,3,3,22,3,7,14,16
Global Citizenship and Social Sustainability,181,42,12,14,0,27,29,5,11,19
Health and Society,141,69,15,14,4,24,33,33,5,19
Industrial Technology,4,5,9,6,1,23,16,0,24,13
Information Systems,3,3,15,0,0,10,4,0,11,5
Management and Human Resources,5,9,4,0,1,13,9,2,19,9
Marketing Management,3,4,7,2,2,22,7,0,11,5
Packaging Technology,0,2,2,4,0,13,6,4,7,4
Quantitative Analysis,6,1,37,0,38,22,2,0,22,20
Real Estate Finance,8,0,8,2,1,12,2,2,7,11
"Science, Technology and Society",98,26,10,16,1,18,58,27,4,10
Visual Media and Cultural Studies,118,14,24,21,1,24,27,1,17,18
"Bioinformatics, Cross Disciplinary Studies",2,2,31,2,1,15,3,47,11,19
"Data Science, Cross Disciplinary Studies",5,4,41,0,9,15,4,5,11,15
"Heavy Civil, Cross Disciplinary Studies",2,0,9,0,1,15,4,0,4,44
