Programs,0,1,2,3,4,5,6,7,8,9
Aerospace Engineering,2,3,34,0,11,7,2,2,1,5
Agricultural and Environmental Plant Sciences,17,2,13,3,3,115,1,12,3,15
Agricultural Business,7,0,6,0,2,42,1,3,10,4
Agricultural Communication,11,1,4,0,3,39,26,5,5,3
Agricultural Science,22,4,14,1,2,110,12,5,14,4
Agricultural Systems Management,9,1,26,4,2,48,6,2,10,10
Animal Science,19,5,14,3,13,129,3,49,25,21
Anthropology and Geography,61,2,3,8,0,31,3,4,4,4
Architectural Engineering,2,0,9,0,4,1,3,1,0,36
Architecture,11,1,0,0,3,3,5,0,0,55
Art and Design,68,1,4,3,0,13,27,0,7,5
Biochemistry,1,16,2,0,10,4,0,69,5,18
Biological Sciences,36,40,18,12,23,32,4,59,4,15
Biomedical Engineering,2,2,28,0,23,7,7,28,6,20
BioResource and Agricultural Engineering,6,0,17,3,8,18,4,10,3,11
Business Administration,10,1,7,0,1,5,1,0,22,1
Chemistry,1,16,14,0,11,4,0,61,5,13
Child Development,19,6,0,1,1,0,3,7,0,2
City and Regional Planning,90,3,8,9,5,22,8,0,15,8
Civil Engineering,3,0,17,0,13,9,1,8,0,30
Communication Studies,25,1,0,0,0,1,10,0,3,1
Comparative Ethnic Studies,268,10,4,14,1,15,6,0,11,6
Computer Engineering,5,1,56,3,20,14,11,3,3,8
Computer Science,6,13,119,2,15,30,18,24,6,23
Construction Management,3,3,3,0,3,12,2,2,8,60
Dairy Science,4,2,9,2,4,56,7,22,6,8
Economics,2,1,15,0,0,1,0,0,9,1
Electrical Engineering,2,8,121,11,33,27,53,15,8,23
English,30,14,0,2,0,2,3,0,1,0
Environmental Earth and Soil Sciences,73,6,31,13,7,151,11,12,10,17
Environmental Engineering,2,0,17,0,7,11,1,14,0,7
Environmental Management and Protection,85,6,22,13,5,162,11,18,15,19
Food Science,6,0,7,0,5,22,0,17,4,7
Forest and Fire Sciences,80,5,24,13,5,174,11,13,13,19
General Engineering,0,0,14,0,9,5,4,20,0,14
Graphic Communication,7,0,11,2,3,32,83,2,20,10
History,78,6,0,0,0,0,0,0,1,1
Industrial Engineering,18,0,66,15,14,27,8,6,10,13
Industrial Technology and Packaging,1,0,6,0,1,8,1,1,6,2
Interdisciplinary Studies,23,2,1,0,0,0,3,0,1,0
Journalism,11,0,0,1,2,13,29,0,5,0
Kinesiology,31,3,7,4,3,5,13,16,11,9
Landscape Architecture,11,2,1,1,1,9,10,1,2,9
Liberal Arts and Engineering Studies,17,4,43,3,5,19,27,1,6,10
Liberal Studies,129,62,9,4,19,21,2,25,8,17
Manufacturing Engineering,17,0,63,14,15,29,8,10,12,15
Marine Sciences,22,29,19,18,16,17,5,43,5,15
Materials Engineering,0,13,20,4,12,11,3,15,8,18
Mathematics,1,5,22,0,52,6,0,2,2,8
Mechanical Engineering,2,2,53,0,11,14,16,4,0,9
Microbiology,6,3,19,2,11,26,1,51,3,13
Music,6,9,1,0,0,1,1,0,0,4
Nutrition,15,1,5,3,13,14,6,37,9,15
Philosophy,18,2,2,2,1,0,0,0,1,1
Physics,11,0,2,4,7,0,2,3,0,2
Political Science,97,2,7,1,3,7,4,0,19,3
Public Health,73,11,9,3,7,13,15,21,15,17
Psychology,60,6,4,3,2,2,2,7,4,3
"Recreation, Parks, and Tourism Administration",71,7,6,9,5,45,11,0,33,10
Sociology,90,5,1,0,1,11,7,1,14,6
Software Engineering,4,11,110,2,13,24,12,25,4,22
Spanish,135,21,1,9,0,3,8,0,5,9
Statistics,1,0,21,0,13,3,1,0,0,3
Theatre Arts,8,1,2,4,0,8,1,0,1,14
Wine and Viticulture,20,3,5,1,4,59,3,25,22,13
Accounting,0,0,3,1,0,1,0,0,1,1
Consumer Packaging,1,0,1,1,1,2,2,0,4,1
Entrepreneurship,8,0,4,0,0,0,2,0,15,5
"Ethics, Law and Social Justice",35,0,4,1,1,0,2,0,1,2
Financial Management,1,1,11,2,3,8,0,0,7,7
Global Citizenship and Social Sustainability,95,1,0,12,0,12,6,0,2,8
Health and Society,79,6,6,14,3,14,7,3,0,6
Industrial Technology,2,1,6,2,0,9,1,0,14,3
Information Systems,1,0,7,0,0,7,0,0,8,1
Management and Human Resources,4,0,1,0,1,6,0,0,13,4
Marketing Management,3,0,1,0,0,2,5,0,6,0
Packaging Technology,0,1,1,2,0,1,0,0,5,0
Quantitative Analysis,0,0,14,0,20,1,0,0,4,1
Real Estate Finance,0,0,3,2,0,8,0,0,3,4
"Science, Technology and Society",58,3,4,15,1,11,14,0,1,4
Visual Media and Cultural Studies,71,2,1,6,0,8,5,0,0,1
"Bioinformatics, Cross Disciplinary Studies",0,0,11,0,1,2,0,21,1,6
"Data Science, Cross Disciplinary Studies",0,0,13,0,4,4,0,0,1,2
"Heavy Civil, Cross Disciplinary Studies",0,0,2,0,0,8,0,0,0,32
