Programs,0,1,2,3,4,5,6,7,8,9
Aerospace Engineering,2,4,95,0,45,62,5,7,48,57
Agricultural and Environmental Plant Sciences,32,2,28,5,5,212,6,38,13,26
Agricultural Business,14,2,18,5,5,108,5,19,26,17
Agricultural Communication,20,2,19,0,6,80,33,25,13,13
Agricultural Science,29,5,37,1,4,211,18,23,34,22
Agricultural Systems Management,10,1,62,6,5,109,16,21,31,40
Animal Science,24,20,48,7,28,220,11,158,61,57
Anthropology and Geography,83,7,26,9,1,57,25,22,17,17
Architectural Engineering,2,0,38,0,20,24,7,4,23,74
Architecture,13,1,4,0,21,5,9,1,2,70
Art and Design,122,4,28,17,4,22,85,1,16,20
Biochemistry,1,22,25,0,21,26,6,132,25,38
Biological Sciences,46,52,65,22,30,87,29,154,39,53
Biomedical Engineering,5,5,90,0,37,52,21,81,48,82
BioResource and Agricultural Engineering,6,0,51,4,17,37,10,34,17,32
Business Administration,15,3,22,1,4,24,6,2,38,14
Chemistry,4,22,41,0,22,23,5,102,23,31
Child Development,24,34,6,1,2,3,5,24,3,5
City and Regional Planning,124,9,54,11,11,62,33,8,49,50
Civil Engineering,5,2,47,4,25,30,8,23,19,61
Communication Studies,35,3,8,2,0,7,12,2,9,9
Comparative Ethnic Studies,439,30,53,64,3,58,24,10,46,43
Computer Engineering,17,4,143,3,36,53,22,29,39,52
Computer Science,41,29,342,4,37,81,49,72,53,86
Construction Management,5,5,19,1,12,25,8,7,26,90
Dairy Science,9,6,21,3,6,114,10,64,20,22
Economics,5,1,30,1,6,8,2,0,18,12
Electrical Engineering,19,9,376,11,63,111,65,51,90,128
English,82,16,26,21,1,11,7,1,8,8
Environmental Earth and Soil Sciences,95,10,88,13,19,260,42,58,43,61
Environmental Engineering,3,1,34,2,16,31,11,36,15,28
Environmental Management and Protection,103,10,76,13,15,285,39,68,49,62
Food Science,15,1,17,6,9,96,7,51,14,22
Forest and Fire Sciences,100,10,74,14,17,290,42,63,42,56
General Engineering,2,0,42,0,19,30,4,47,23,45
Graphic Communication,15,0,56,51,6,58,160,12,30,26
History,101,6,13,6,0,6,0,0,7,7
Industrial Engineering,22,3,152,18,25,98,21,27,74,96
Industrial Technology and Packaging,1,2,14,2,7,12,6,3,7,6
Interdisciplinary Studies,41,5,7,3,1,3,4,2,4,4
Journalism,31,3,21,6,3,22,52,0,11,7
Kinesiology,48,16,22,20,4,18,19,40,20,20
Landscape Architecture,16,13,12,4,20,17,18,6,5,19
Liberal Arts and Engineering Studies,32,5,113,16,18,46,57,6,33,51
Liberal Studies,194,110,39,25,36,53,20,93,27,39
Manufacturing Engineering,19,1,145,18,27,100,30,38,73,112
Marine Sciences,29,39,57,24,27,59,23,119,31,43
Materials Engineering,5,20,58,6,22,44,21,50,40,80
Mathematics,12,7,77,5,82,39,0,15,35,46
Mechanical Engineering,4,4,134,15,25,67,30,32,45,90
Microbiology,8,3,52,7,17,82,8,128,26,39
Music,14,10,6,12,0,10,6,3,4,8
Nutrition,33,17,25,12,25,52,8,109,27,37
Philosophy,34,11,11,3,2,10,11,9,9,9
Physics,12,0,17,4,18,13,6,15,13,17
Political Science,131,5,30,6,4,24,9,11,31,19
Public Health,127,20,38,6,8,35,28,71,28,33
Psychology,104,19,17,8,4,9,7,31,11,10
"Recreation, Parks, and Tourism Administration",101,16,37,20,10,118,48,11,60,43
Sociology,139,23,31,3,1,36,17,9,34,28
Software Engineering,33,28,297,4,36,73,30,75,48,81
Spanish,243,34,49,43,0,30,27,8,32,38
Statistics,8,1,62,3,32,26,3,2,23,31
Theatre Arts,16,1,12,19,0,14,8,5,7,30
Wine and Viticulture,39,3,29,4,7,140,17,65,44,34
Accounting,0,0,3,1,0,1,2,1,12,2
Consumer Packaging,1,0,5,3,1,8,7,1,6,5
Entrepreneurship,9,1,6,4,0,7,13,1,17,11
"Ethics, Law and Social Justice",62,0,15,2,1,8,6,3,8,11
Financial Management,3,1,22,2,3,15,3,7,14,15
Global Citizenship and Social Sustainability,134,1,12,14,0,24,26,5,10,17
Health and Society,125,17,15,14,4,22,32,26,4,10
Industrial Technology,3,2,9,6,1,23,13,0,20,11
Information Systems,2,3,14,0,0,10,4,0,11,5
Management and Human Resources,5,5,4,0,1,12,8,2,16,9
Marketing Management,3,2,7,2,2,22,7,0,9,5
Packaging Technology,0,1,2,4,0,13,4,3,6,4
Quantitative Analysis,2,0,36,0,35,21,0,0,22,20
Real Estate Finance,0,0,8,2,0,12,1,2,7,10
"Science, Technology and Society",80,4,10,16,1,16,57,27,3,8
Visual Media and Cultural Studies,115,3,24,21,1,24,25,1,17,18
"Bioinformatics, Cross Disciplinary Studies",2,0,31,2,1,12,2,40,11,19
"Data Science, Cross Disciplinary Studies",5,4,37,0,8,14,2,5,11,15
"Heavy Civil, Cross Disciplinary Studies",0,0,9,0,1,15,2,0,4,43
