Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Aerospace Engineering,2,3,42,61,3,0,4,48,56,50,0,6,0,3,9,143,1,29,2,28
Agricultural and Environmental Plant Sciences,20,2,17,163,5,3,24,13,24,12,14,1,28,58,1,14,12,4,2,2
Agricultural Business,13,1,7,72,3,0,14,26,16,11,12,3,0,70,1,4,7,3,0,1
Agricultural Communication,13,1,12,55,32,0,20,13,12,8,7,4,6,50,0,3,0,4,0,2
Agricultural Science,27,4,20,160,17,1,15,34,19,20,22,2,1,137,3,16,9,3,0,1
Agricultural Systems Management,9,1,35,77,10,4,14,31,37,36,6,7,1,80,2,35,7,3,0,4
Animal Science,20,15,16,168,11,3,98,61,52,44,59,6,9,209,6,15,10,16,1,7
Anthropology and Geography,75,2,10,48,14,8,14,17,17,26,12,14,7,20,1,2,17,0,2,3
Architectural Engineering,2,0,15,24,3,0,3,23,68,23,0,1,0,0,1,6,1,9,0,12
Architecture,12,1,1,5,5,0,0,2,63,4,1,0,1,5,0,5,3,9,0,1
Art and Design,103,1,18,21,48,9,0,15,13,25,0,3,6,3,2,9,11,4,2,1
Biochemistry,1,21,5,24,5,0,93,25,38,22,8,7,0,2,0,1,0,12,0,6
Biological Sciences,41,52,27,74,22,11,109,39,50,56,48,16,5,23,0,10,24,24,0,7
Biomedical Engineering,2,3,42,49,14,0,52,48,69,48,5,6,1,7,0,20,3,29,3,19
BioResource and Agricultural Engineering,6,0,28,34,6,3,20,17,30,23,3,2,0,15,0,29,4,11,0,11
Business Administration,14,1,10,20,5,0,1,38,13,12,1,4,2,10,2,4,4,2,0,0
Chemistry,1,21,20,22,4,0,77,23,31,20,2,8,3,1,0,4,0,15,0,15
Child Development,23,25,3,3,5,1,16,3,5,4,4,17,1,0,0,0,1,1,0,1
City and Regional Planning,107,3,16,58,19,10,7,49,43,48,6,12,4,23,1,11,15,7,0,2
Civil Engineering,3,2,24,30,2,0,13,19,56,23,0,1,1,8,0,17,4,17,3,16
Communication Studies,32,2,1,7,12,0,2,9,8,12,0,1,2,1,0,2,4,0,0,1
Comparative Ethnic Studies,412,17,8,49,16,14,9,45,43,57,16,13,18,6,14,11,83,1,10,3
Computer Engineering,5,1,88,50,19,3,19,39,45,41,3,9,10,14,5,15,4,25,10,25
Computer Science,10,19,234,76,33,2,47,52,70,55,3,12,31,36,11,32,12,26,6,25
Construction Management,5,5,5,25,5,0,5,24,80,17,2,3,0,12,2,5,1,5,0,2
Dairy Science,4,5,11,70,9,1,39,20,21,13,24,1,4,133,3,8,4,5,0,4
Economics,3,1,21,8,2,0,0,18,8,7,0,1,2,0,1,3,1,2,1,3
Electrical Engineering,2,8,223,109,60,11,30,90,106,102,3,8,16,39,18,84,14,49,12,73
English,50,16,2,11,4,2,1,8,7,12,0,0,53,1,0,0,22,0,6,0
Environmental Earth and Soil Sciences,81,8,48,219,24,13,32,43,52,52,18,12,10,97,3,33,18,10,0,8
Environmental Engineering,2,1,19,27,7,0,23,15,28,17,8,1,0,10,1,21,4,10,0,14
Environmental Management and Protection,93,8,38,235,22,13,40,49,53,57,20,9,6,110,3,22,15,8,0,6
Food Science,12,1,8,40,5,0,36,13,18,11,14,5,1,119,2,9,7,6,0,4
Forest and Fire Sciences,90,7,40,240,23,13,36,42,48,50,22,10,6,121,3,24,16,8,0,5
General Engineering,0,0,17,29,4,0,25,23,41,25,0,2,2,3,2,9,0,13,0,19
Graphic Communication,9,0,45,43,120,46,6,30,19,20,4,8,3,35,1,7,7,5,0,2
History,91,6,0,6,0,0,0,7,7,9,0,0,20,0,0,1,9,0,3,0
Industrial Engineering,19,2,83,92,14,16,14,74,78,78,2,17,3,28,4,38,19,19,1,20
Industrial Technology and Packaging,1,0,11,10,4,0,1,7,4,2,1,2,0,18,1,4,3,3,0,2
Interdisciplinary Studies,39,2,4,3,4,0,2,4,3,4,0,0,1,0,0,1,4,0,0,2
Journalism,16,1,12,20,45,1,0,11,6,7,0,1,14,5,1,3,13,2,0,4
Kinesiology,43,12,11,15,19,5,28,20,18,27,135,14,4,6,4,7,17,3,1,10
Landscape Architecture,14,12,9,13,10,4,5,5,13,8,3,1,1,7,0,2,3,3,0,2
Liberal Arts and Engineering Studies,22,5,71,45,46,14,5,33,39,37,1,4,10,16,7,23,6,10,4,12
Liberal Studies,169,94,11,45,18,4,65,26,37,30,36,21,21,12,5,5,54,27,5,8
Manufacturing Engineering,17,0,75,93,20,15,23,73,81,77,2,18,2,36,4,39,19,20,1,18
Marine Sciences,23,35,27,53,14,17,91,31,41,47,8,16,4,16,2,8,27,19,0,10
Materials Engineering,1,19,26,43,17,4,30,40,62,37,3,7,2,20,5,11,7,15,0,18
Mathematics,2,7,34,39,0,0,11,35,42,36,0,1,10,8,4,11,6,65,22,49
Mechanical Engineering,2,4,68,66,25,2,23,45,64,62,0,7,2,16,7,54,18,17,1,23
Microbiology,6,3,27,53,6,1,88,26,37,30,33,3,2,55,1,13,8,12,0,5
Music,9,10,2,7,2,0,0,4,8,26,0,1,5,1,127,0,15,0,0,1
Nutrition,27,11,7,33,8,4,71,27,32,24,83,11,4,25,5,5,9,17,0,6
Philosophy,23,2,2,8,11,2,9,9,9,9,2,3,1,0,0,4,2,2,6,0
Physics,11,0,4,13,6,4,13,13,17,18,0,6,0,0,0,2,4,11,0,44
Political Science,117,2,9,20,9,1,10,31,15,16,2,2,5,6,0,12,16,3,0,2
Public Health,102,15,15,27,26,3,42,28,30,26,143,8,48,14,2,8,11,8,4,5
Psychology,94,16,6,9,7,3,23,11,10,14,13,10,7,3,0,6,9,3,0,1
"Recreation, Parks, and Tourism Administration",91,12,10,82,33,9,9,60,35,51,24,20,5,66,2,6,23,6,0,2
Sociology,127,10,3,33,17,0,6,34,26,31,4,9,4,8,1,7,9,1,1,2
Software Engineering,5,18,197,68,22,2,45,48,66,48,3,8,28,35,7,29,11,25,0,29
Spanish,200,28,2,29,14,9,5,31,38,52,9,12,79,0,10,2,59,0,67,0
Statistics,1,0,30,26,2,0,2,23,26,25,0,3,7,6,2,9,4,20,5,17
Theatre Arts,11,1,4,14,3,11,1,7,25,16,0,2,3,2,13,0,13,0,1,0
Wine and Viticulture,24,3,7,95,16,1,40,43,31,21,11,7,35,55,1,5,8,5,3,2
Accounting,0,0,3,1,1,1,0,12,1,1,0,0,0,2,0,4,1,0,0,0
Consumer Packaging,1,0,3,5,3,3,0,6,3,2,1,0,0,7,0,1,0,1,0,0
Entrepreneurship,9,1,4,3,9,0,0,17,7,4,0,6,0,6,0,0,4,0,0,0
"Ethics, Law and Social Justice",53,0,6,7,6,1,2,8,9,9,1,0,0,0,0,7,4,1,0,0
Financial Management,1,1,14,13,3,2,1,14,12,7,0,0,1,8,0,5,3,3,1,3
Global Citizenship and Social Sustainability,123,1,0,21,19,12,4,10,16,22,1,14,2,8,0,2,28,0,1,0
Health and Society,118,9,9,18,24,14,19,4,10,18,35,20,2,8,0,7,15,4,0,1
Industrial Technology,2,2,6,15,8,4,0,19,7,5,1,4,0,14,2,5,4,0,0,0
Information Systems,1,2,10,10,1,0,0,11,4,3,0,0,1,7,1,1,0,0,0,0
Management and Human Resources,5,2,1,9,8,0,1,16,7,5,0,5,0,6,7,1,0,1,0,0
Marketing Management,3,0,4,5,7,0,0,9,3,8,0,0,0,6,0,0,2,0,0,0
Packaging Technology,0,1,1,3,1,3,3,6,2,3,1,0,0,14,0,1,2,0,0,0
Quantitative Analysis,0,0,15,19,0,0,0,22,19,19,0,0,2,3,1,5,1,27,9,29
Real Estate Finance,0,0,4,12,1,2,0,7,8,6,0,0,0,7,0,1,2,0,1,2
