Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Aerospace Engineering,10,48,5,62,6,0,7,52,60,58,16,10,15,9,10,261,1,47,13,68,75,5,11,14,14
Agricultural and Environmental Plant Sciences,26,21,7,225,7,3,44,13,26,18,19,2,35,1,92,30,12,5,3,2,19,8,27,7,43
Agricultural Business,24,7,11,113,6,0,24,28,17,25,20,4,4,1,89,17,7,5,1,1,22,25,23,5,31
Agricultural Communication,23,12,13,84,33,0,32,13,13,11,16,6,11,0,67,12,0,6,1,3,18,17,16,6,23
Agricultural Science,46,23,14,223,19,1,28,35,23,33,35,7,7,3,192,51,19,5,3,7,24,36,54,14,78
Agricultural Systems Management,23,43,11,115,19,4,25,31,41,46,22,10,9,2,113,86,7,9,3,28,44,17,46,15,76
Animal Science,40,18,43,233,14,5,186,62,57,64,103,18,27,6,302,64,10,28,5,28,55,43,26,32,90
Anthropology and Geography,125,13,33,63,25,8,22,18,17,26,31,19,30,1,38,23,17,2,3,11,24,39,22,17,246
Architectural Engineering,5,15,4,24,9,0,4,26,84,26,9,1,4,1,7,45,1,22,2,31,40,2,8,6,8
Architecture,17,2,6,5,16,0,1,2,75,5,9,0,2,0,9,12,3,21,0,6,2,1,2,3,15
Art and Design,129,20,18,22,105,17,1,16,22,37,4,4,14,6,16,17,11,4,4,2,8,8,3,5,8
Biochemistry,8,5,44,36,12,3,147,40,38,29,23,9,15,0,17,37,0,28,0,22,31,0,4,15,12
Biological Sciences,58,31,135,97,38,13,176,68,54,67,73,20,32,0,39,61,24,30,6,15,77,16,27,9,201
Biomedical Engineering,15,66,18,53,26,1,93,54,87,59,25,10,20,0,21,111,3,47,18,49,81,3,3,10,13
BioResource and Agricultural Engineering,17,38,8,40,13,3,36,18,36,27,13,7,10,0,34,92,4,22,5,43,36,9,29,7,42
Business Administration,27,10,5,25,7,2,2,40,14,39,8,4,11,3,11,17,4,4,0,0,26,58,0,6,9
Chemistry,8,23,44,33,10,3,114,38,31,27,16,10,16,0,16,41,0,29,0,32,45,0,4,15,10
Child Development,25,3,61,3,5,1,29,4,5,4,23,22,5,0,3,3,1,2,0,1,11,3,0,6,13
City and Regional Planning,190,20,60,63,40,10,8,50,54,57,35,14,24,1,32,50,15,11,2,8,64,55,21,11,260
Civil Engineering,13,28,15,31,10,0,24,21,67,27,8,5,9,0,14,84,4,29,12,34,42,5,87,5,45
Communication Studies,46,2,13,7,16,2,2,9,9,14,2,1,5,0,1,8,4,0,0,1,14,3,1,2,7
Comparative Ethnic Studies,571,19,113,59,28,14,10,49,43,60,31,15,70,21,16,49,83,3,10,3,49,93,15,15,169
Computer Engineering,16,135,23,58,23,4,30,39,60,50,13,10,19,5,31,71,4,42,12,50,70,3,2,12,17
Computer Science,34,318,34,88,60,3,75,61,92,78,10,21,45,11,56,117,12,44,30,41,169,46,5,27,35
Construction Management,11,6,12,25,9,0,7,30,98,29,11,4,4,2,16,28,1,13,4,8,25,14,13,3,26
Dairy Science,13,11,16,125,12,3,71,21,23,21,39,10,12,3,169,26,4,6,1,10,26,25,9,15,23
Economics,14,23,2,8,2,0,0,18,12,18,2,3,4,1,1,10,1,6,2,3,24,29,0,1,0
Electrical Engineering,31,349,18,115,70,13,56,93,140,115,15,18,38,18,69,240,14,73,26,164,160,27,12,24,36
English,80,19,9,11,9,2,1,10,8,14,0,0,94,1,2,7,22,1,9,5,10,3,5,13,4
Environmental Earth and Soil Sciences,122,56,50,281,49,13,62,44,69,58,54,16,44,3,147,97,18,27,11,34,66,42,267,24,406
Environmental Engineering,13,19,14,33,16,0,44,16,30,21,22,2,10,1,24,75,4,16,3,42,42,7,36,10,52
Environmental Management and Protection,141,42,51,308,48,13,74,50,66,63,56,13,37,3,158,82,15,21,13,22,73,52,245,24,415
Food Science,22,8,21,100,12,0,54,14,22,13,27,10,12,3,150,25,7,10,1,7,19,5,11,11,28
Forest and Fire Sciences,137,45,51,312,50,13,68,43,61,55,57,13,36,3,173,77,16,25,15,16,64,52,284,27,429
General Engineering,8,21,11,35,5,0,51,25,46,30,6,11,21,2,9,58,0,21,3,41,44,2,6,5,9
Graphic Communication,14,52,10,59,164,49,15,35,26,47,9,20,13,2,48,18,7,6,1,2,32,11,1,4,27
History,129,7,10,6,2,3,0,7,7,9,0,0,49,0,0,7,9,0,3,3,10,19,0,7,6
Industrial Engineering,43,98,25,103,23,16,29,78,103,103,11,22,22,4,47,140,19,31,11,48,120,27,8,8,110
Industrial Technology and Packaging,4,13,2,12,6,0,3,7,7,9,3,2,5,1,21,8,3,7,3,7,14,3,0,6,9
Interdisciplinary Studies,50,4,12,3,4,0,2,5,4,5,0,1,3,0,0,4,4,1,0,2,26,8,0,2,2
