Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Aerospace Engineering,10,48,1,62,5,0,7,48,57,56,9,10,3,9,10,236,1,45,2,58,26,5,10,14,12
Agricultural and Environmental Plant Sciences,25,21,1,212,6,3,38,13,26,18,19,1,35,1,92,27,12,5,2,2,12,7,27,5,33
Agricultural Business,18,7,3,108,5,0,19,26,17,25,20,3,3,1,87,15,7,5,0,1,9,23,23,5,27
Agricultural Communication,16,12,2,80,33,0,25,13,13,11,16,4,9,0,65,10,0,6,0,2,10,16,16,6,20
Agricultural Science,40,23,8,211,18,1,23,34,22,33,34,2,5,3,185,45,14,4,0,5,10,34,53,11,69
Agricultural Systems Management,17,42,5,109,16,4,21,31,40,46,20,7,6,2,108,75,7,5,0,16,22,17,46,13,68
Animal Science,28,18,27,220,11,5,158,61,57,63,100,6,26,6,275,55,10,28,1,19,22,42,26,26,86
Anthropology and Geography,98,13,30,57,25,8,22,17,17,26,29,14,8,1,35,16,17,1,2,9,10,36,16,13,186
Architectural Engineering,4,15,1,24,7,0,4,23,74,25,7,1,1,1,7,39,1,20,0,23,17,2,8,6,7
Architecture,15,2,6,5,9,0,1,2,70,5,6,0,2,0,9,9,3,21,0,4,0,1,2,3,14
Art and Design,118,20,18,22,87,9,1,16,20,37,3,4,7,2,16,17,11,4,2,1,0,8,3,5,5
Biochemistry,2,5,34,26,6,3,132,25,38,26,21,7,15,0,17,29,0,21,0,15,11,0,3,15,12
Biological Sciences,45,30,108,87,29,12,154,39,53,57,64,17,19,0,36,56,24,30,0,13,37,15,26,9,164
Biomedical Engineering,11,48,6,52,21,1,81,48,82,56,17,7,16,0,19,98,3,37,3,37,33,3,3,10,12
BioResource and Agricultural Engineering,9,37,4,37,10,3,34,17,32,25,10,2,6,0,33,81,4,17,0,26,21,9,29,7,32
Business Administration,18,10,3,24,6,0,2,38,14,39,6,4,6,2,11,16,4,4,0,0,12,57,0,4,3
Chemistry,2,23,33,23,5,3,102,23,31,24,15,8,15,0,16,34,0,22,0,25,27,0,3,15,10
Child Development,23,3,58,3,5,1,24,3,5,4,18,18,5,0,3,3,1,2,0,1,7,3,0,3,13
City and Regional Planning,151,20,54,62,32,10,8,49,50,56,19,12,6,1,31,47,15,11,0,6,25,54,19,10,218
Civil Engineering,10,28,10,30,8,0,23,19,61,24,5,1,6,0,14,79,4,25,3,26,22,5,85,5,36
Communication Studies,41,2,11,7,12,0,2,9,9,14,2,1,3,0,1,8,4,0,0,1,7,3,1,2,5
Comparative Ethnic Studies,490,19,107,58,24,14,10,46,43,60,28,13,24,16,16,49,83,3,10,3,14,90,13,11,111
Computer Engineering,11,108,6,53,22,4,29,39,52,49,13,10,15,5,29,63,4,36,10,37,30,3,2,12,16
Computer Science,24,296,18,81,49,2,72,53,86,76,10,12,40,11,52,104,12,37,9,35,119,14,4,27,28
Construction Management,6,6,8,25,8,0,7,26,90,28,8,3,2,2,16,25,1,12,0,5,10,14,13,3,18
Dairy Science,9,11,7,114,10,2,64,20,22,20,39,2,11,3,161,23,4,6,0,7,13,25,9,11,20
Economics,3,23,2,8,2,0,0,18,12,18,2,1,2,1,1,10,1,6,1,3,16,28,0,1,0
Electrical Engineering,26,302,5,111,65,13,51,90,128,112,15,12,28,18,68,207,14,63,12,115,73,25,11,21,29
English,53,19,8,11,7,2,1,8,8,14,0,0,81,0,2,7,22,1,6,5,3,3,5,12,2
Environmental Earth and Soil Sciences,107,55,44,260,42,13,58,43,61,57,47,13,24,3,144,84,18,19,0,24,27,42,246,18,337
Environmental Engineering,10,19,9,31,11,0,36,15,28,18,19,1,4,1,24,60,4,16,0,32,22,6,32,10,44
Environmental Management and Protection,118,42,46,285,39,13,68,49,62,62,49,10,22,3,155,70,15,15,0,18,29,51,225,18,347
Food Science,18,8,10,96,7,0,51,14,22,13,23,5,8,3,137,23,7,9,0,6,10,5,11,9,24
Forest and Fire Sciences,116,45,45,290,42,13,63,42,56,54,57,11,21,3,170,69,16,17,0,13,26,51,255,21,361
General Engineering,5,19,6,30,4,0,47,23,45,27,6,6,15,2,9,50,0,19,0,33,21,2,6,5,8
Graphic Communication,13,47,6,58,137,46,12,30,26,47,7,8,8,2,47,17,7,6,0,2,21,9,1,3,24
History,110,7,10,6,0,0,0,7,7,9,0,0,35,0,0,7,9,0,3,3,4,19,0,7,4
Industrial Engineering,27,90,18,98,21,16,27,74,96,100,9,17,10,4,46,130,19,25,1,36,52,26,8,7,80
Industrial Technology and Packaging,2,13,1,12,6,0,3,7,6,9,3,2,2,1,21,6,3,7,0,5,12,3,0,4,5
Interdisciplinary Studies,45,4,10,3,4,0,2,4,4,5,0,0,1,0,0,4,4,1,0,2,21,8,0,2,0
Journalism,31,15,10,22,52,1,0,11,7,8,1,2,14,1,11,9,13,3,0,4,22,16,0,2,4
Kinesiology,50,13,63,18,19,5,40,20,20,30,176,15,12,4,22,17,17,4,1,14,13,9,1,26,40
Landscape Architecture,20,9,14,17,15,4,6,5,19,11,5,1,1,0,9,6,3,20,0,2,9,1,11,4,26
Liberal Arts and Engineering Studies,28,87,8,46,56,19,6,33,51,46,6,7,13,8,32,66,6,18,4,22,39,4,8,9,18
Liberal Studies,216,21,171,53,20,4,93,27,39,36,62,21,47,5,30,36,54,36,6,21,8,28,7,25,57
Manufacturing Engineering,25,85,13,100,30,15,38,73,112,101,14,20,12,4,61,135,19,27,1,40,34,26,8,11,80
Marine Sciences,30,31,68,59,23,18,119,31,43,51,14,16,17,2,24,48,27,27,0,18,36,11,20,10,134
Materials Engineering,15,27,31,44,21,6,50,40,80,49,20,12,15,5,38,74,7,22,0,41,24,13,6,15,22
