Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Aerospace Engineering,10,13,48,62,6,0,7,52,60,58,16,10,15,10,9,261,1,47,13,68
Agricultural and Environmental Plant Sciences,26,6,21,224,7,3,44,13,26,18,19,2,35,92,1,30,12,5,3,2
Agricultural Business,24,7,7,115,6,0,24,28,17,25,20,4,4,89,1,17,7,5,1,1
Agricultural Communication,23,7,12,87,33,0,32,13,13,11,16,6,11,67,0,12,0,6,1,3
Agricultural Science,46,19,23,224,19,1,28,35,23,33,35,7,7,192,3,51,19,5,3,7
Agricultural Systems Management,23,16,43,117,19,4,25,31,41,46,22,10,9,113,2,86,7,9,3,28
Animal Science,40,46,18,236,14,5,186,62,57,64,103,18,27,302,6,64,10,28,5,28
Anthropology and Geography,125,34,13,63,25,8,22,18,17,26,31,19,30,38,1,23,17,2,3,11
Architectural Engineering,5,7,15,24,9,0,4,26,84,26,9,1,4,7,1,45,1,22,2,31
Architecture,17,8,2,5,16,0,1,2,75,5,9,0,2,9,0,12,3,21,0,6
Art and Design,129,21,20,22,105,17,1,16,22,37,4,4,14,16,6,17,11,4,4,2
Biochemistry,8,35,5,36,12,3,147,40,38,29,23,9,15,17,0,37,0,28,0,22
Biological Sciences,58,77,31,101,38,13,176,68,54,67,73,20,32,39,0,61,24,30,6,15
Biomedical Engineering,15,13,66,53,26,1,93,54,87,59,25,10,20,21,0,111,3,47,18,49
BioResource and Agricultural Engineering,17,8,38,40,13,3,36,18,36,27,13,7,10,34,0,92,4,22,5,43
Business Administration,27,7,10,29,7,2,2,40,14,39,8,4,11,11,3,17,4,4,0,0
Chemistry,8,35,23,33,10,3,114,38,31,27,16,10,16,16,0,41,0,29,0,32
Child Development,25,59,3,5,5,1,29,4,5,4,23,22,5,3,0,3,1,2,0,1
City and Regional Planning,190,58,20,73,40,10,8,50,54,57,35,14,24,32,1,50,15,11,2,8
Civil Engineering,13,10,28,32,10,0,24,21,67,27,8,5,9,14,0,84,4,29,12,34
Communication Studies,46,12,2,7,16,2,2,9,9,14,2,1,5,1,0,8,4,0,0,1
Comparative Ethnic Studies,571,108,19,65,28,14,10,49,43,60,31,15,70,16,21,49,83,3,10,3
Computer Engineering,16,14,135,58,23,4,30,39,60,50,13,10,19,31,5,71,4,42,12,50
Computer Science,34,37,318,88,60,3,75,61,92,78,10,21,45,56,11,117,12,44,30,41
Construction Management,11,10,6,25,9,0,7,30,98,29,11,4,4,16,2,28,1,13,4,8
Dairy Science,13,15,11,127,12,3,71,21,23,21,39,10,12,169,3,26,4,6,1,10
Economics,14,3,23,9,2,0,0,18,12,18,2,3,4,1,1,10,1,6,2,3
Electrical Engineering,31,22,349,119,70,13,56,93,140,115,15,18,38,69,18,240,14,73,26,164
English,80,20,19,12,9,2,1,10,8,14,0,0,94,2,1,7,22,1,9,5
Environmental Earth and Soil Sciences,122,50,56,289,49,13,62,44,69,58,54,16,44,147,3,97,18,27,11,34
Environmental Engineering,13,11,19,33,16,0,44,16,30,21,22,2,10,24,1,75,4,16,3,42
Environmental Management and Protection,141,53,42,319,48,13,74,50,66,63,56,13,37,158,3,82,15,21,13,22
Food Science,22,14,8,101,12,0,54,14,22,13,27,10,12,150,3,25,7,10,1,7
Forest and Fire Sciences,137,54,45,321,50,13,68,43,61,55,57,13,36,173,3,77,16,25,15,16
General Engineering,8,5,21,35,5,0,51,25,46,30,6,11,21,9,2,58,0,21,3,41
Graphic Communication,14,9,52,59,164,49,15,35,26,47,9,20,13,48,2,18,7,6,1,2
History,129,15,7,8,2,3,0,7,7,9,0,0,49,0,0,7,9,0,3,3
Industrial Engineering,43,20,98,103,23,16,29,78,103,103,11,22,22,47,4,140,19,31,11,48
Industrial Technology and Packaging,4,5,13,12,6,0,3,7,7,9,3,2,5,21,1,8,3,7,3,7
Interdisciplinary Studies,50,12,4,4,4,0,2,5,4,5,0,1,3,0,0,4,4,1,0,2
Journalism,32,11,15,24,65,5,0,12,7,8,1,5,15,11,3,10,13,3,0,4
Kinesiology,53,70,13,26,23,5,47,20,20,30,200,16,13,22,4,20,17,5,4,16
Landscape Architecture,24,15,9,18,20,4,6,5,19,11,7,2,1,9,0,6,3,21,1,2
Liberal Arts and Engineering Studies,36,17,93,46,61,21,6,36,52,47,6,14,17,32,9,72,6,19,10,30
Liberal Studies,269,167,23,61,24,5,106,57,39,46,66,32,58,31,5,46,54,42,10,33
Manufacturing Engineering,43,19,94,105,32,15,41,78,119,104,19,25,26,62,4,151,19,33,12,54
Marine Sciences,43,55,32,71,28,18,129,54,43,58,19,19,34,25,2,54,27,29,1,20
Materials Engineering,18,34,34,49,25,7,51,51,86,54,23,14,19,38,5,91,7,34,7,54
Mathematics,6,15,47,41,4,1,15,35,48,56,8,3,22,16,4,61,6,91,39,90
Mechanical Engineering,16,21,96,71,35,4,32,50,105,69,30,13,17,47,7,185,18,34,18,78
Microbiology,16,8,29,91,11,3,145,28,39,31,42,6,15,77,1,43,8,17,1,13
Music,18,11,2,10,7,0,3,4,8,26,0,1,8,2,168,4,15,0,0,1
Nutrition,42,40,8,59,16,4,127,27,37,28,113,17,18,38,6,30,9,25,5,13
Philosophy,48,16,3,10,11,2,10,9,9,10,4,3,2,2,0,13,2,3,6,0
Physics,13,9,6,13,7,4,15,13,18,18,4,6,5,4,0,24,4,18,1,71
Political Science,188,32,18,39,14,3,11,31,19,20,10,2,17,8,0,25,16,4,0,2
Public Health,129,78,25,51,37,3,81,29,33,29,210,12,75,30,2,25,11,8,6,8
Psychology,108,62,10,11,8,3,37,11,10,17,34,13,12,4,0,13,9,4,1,1
"Recreation, Parks, and Tourism Administration",130,61,12,125,52,11,12,64,44,76,42,26,22,76,4,33,23,10,1,2
Sociology,171,80,11,41,21,0,9,34,28,36,15,9,17,15,1,31,9,1,1,2
Software Engineering,27,38,274,80,40,2,79,56,87,63,10,18,44,50,7,108,11,43,19,45
Spanish,325,75,23,34,29,12,8,41,38,54,20,13,155,5,13,29,59,0,67,0
Statistics,2,1,44,26,6,1,2,23,31,26,0,4,9,6,2,34,4,37,12,19
Theatre Arts,22,8,6,14,10,32,5,7,30,20,4,3,11,11,15,7,13,1,1,0
Wine and Viticulture,40,11,12,153,20,1,69,47,34,49,15,13,52,77,1,27,8,7,3,6
Accounting,2,0,3,1,2,8,1,12,2,13,0,0,1,2,0,4,1,0,0,0
Consumer Packaging,2,2,3,8,8,3,1,7,6,4,3,0,2,9,0,3,0,1,3,0
Entrepreneurship,10,8,4,7,13,0,2,21,11,22,2,7,1,6,0,3,4,0,0,0
"Ethics, Law and Social Justice",90,12,8,13,8,1,3,8,11,9,4,0,2,0,0,14,4,1,0,0
Financial Management,12,2,17,22,3,6,7,14,15,16,1,0,7,11,0,12,3,3,1,3
Global Citizenship and Social Sustainability,196,42,4,28,29,13,5,11,17,22,4,14,24,12,0,20,28,0,1,7
Health and Society,147,69,11,24,33,14,33,5,10,19,53,24,18,17,0,15,15,4,0,1
Industrial Technology,4,5,7,23,16,4,0,24,12,24,4,4,2,21,2,11,4,1,0,2
Information Systems,2,3,12,10,4,0,0,11,5,12,0,1,2,7,1,5,0,0,3,0
Management and Human Resources,5,9,1,12,9,0,2,19,9,20,1,5,2,7,7,4,0,1,0,0
Marketing Management,5,4,4,22,7,0,0,11,5,11,0,0,0,6,0,4,2,2,0,0
Packaging Technology,0,2,1,13,6,3,4,7,4,5,2,0,0,19,0,2,2,0,0,1
Quantitative Analysis,4,1,19,21,2,0,0,22,20,24,1,0,4,4,1,25,1,38,16,37
