Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Aerospace Engineering,2,39,153,61,48,0,9,7,5,20,8,1,56,0,5,9,5,30,1,9
Agricultural and Environmental Plant Sciences,20,15,9,161,11,12,1,31,14,6,64,1,9,28,63,2,6,3,12,3
Agricultural Business,13,6,11,75,22,3,1,17,13,8,44,3,14,0,70,2,21,3,7,1
Agricultural Communication,13,12,7,59,13,3,0,22,11,4,34,4,13,6,49,4,12,3,0,1
Agricultural Science,27,19,24,169,29,5,3,18,27,8,114,2,17,1,149,9,31,2,9,3
Agricultural Systems Management,9,32,55,77,30,10,2,19,9,10,86,2,33,1,87,1,14,3,7,3
Animal Science,20,16,45,179,59,19,6,107,83,17,144,4,37,9,199,17,32,15,10,3
Anthropology and Geography,80,10,23,48,17,15,0,15,20,3,152,12,28,7,20,6,36,0,17,3
Architectural Engineering,2,15,41,24,23,0,1,4,1,8,5,0,24,0,0,0,2,9,1,2
Architecture,12,1,7,5,2,0,0,1,3,0,10,0,3,1,5,1,1,10,3,0
Art and Design,105,18,9,22,15,3,2,1,1,0,8,1,23,6,3,4,6,4,11,4
Biochemistry,1,5,36,24,26,5,0,100,13,5,8,6,35,0,2,22,0,12,0,0
Biological Sciences,41,27,54,74,39,31,0,113,56,25,124,17,60,5,22,51,9,25,24,4
Biomedical Engineering,2,42,95,49,48,7,0,64,7,24,12,0,51,1,7,4,3,28,3,15
BioResource and Agricultural Engineering,6,27,71,34,17,11,0,26,5,13,42,0,19,0,21,0,9,11,4,5
Business Administration,14,9,12,23,36,0,2,2,5,8,14,1,15,2,10,3,42,2,4,1
Chemistry,1,20,38,22,24,4,0,82,7,13,6,7,34,3,1,22,0,15,0,0
Child Development,23,3,3,3,4,6,0,18,14,2,11,17,9,1,0,12,1,1,1,0
City and Regional Planning,114,16,44,58,56,11,1,8,17,16,202,8,47,4,23,7,43,6,15,2
Civil Engineering,3,24,73,30,19,5,0,18,5,13,38,0,24,1,9,2,4,18,4,9
Communication Studies,32,1,7,7,9,1,0,2,2,2,8,0,12,2,1,2,3,0,4,0
Comparative Ethnic Studies,435,8,47,51,45,18,16,10,22,5,105,10,54,18,6,27,84,1,83,10
Computer Engineering,5,82,65,51,39,3,4,24,7,18,19,2,49,10,15,4,2,26,4,2
Computer Science,10,245,84,76,52,7,11,52,7,56,45,2,69,31,38,29,12,23,12,18
Construction Management,5,5,24,25,24,0,2,7,5,7,29,1,18,0,12,5,13,6,1,4
Dairy Science,4,11,15,77,17,6,3,44,31,9,44,2,11,4,134,6,21,4,4,1
Economics,3,20,8,8,18,0,1,0,2,10,11,1,8,2,0,1,26,2,1,1
Electrical Engineering,2,210,205,110,90,15,16,41,4,48,45,2,96,16,47,9,20,48,14,11
English,50,2,7,11,8,5,0,1,0,2,4,0,26,53,1,17,2,0,22,6
Environmental Earth and Soil Sciences,83,48,65,222,47,28,3,43,33,13,355,11,45,10,103,11,33,11,18,11
Environmental Engineering,2,19,59,27,15,8,0,27,17,18,46,0,18,0,12,1,6,10,4,3
