Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Aerospace Engineering,2,39,14,48,0,9,2,5,8,20,164,1,56,0,2,9,5,30,1,0,3,46,12,8,28,2,8,0,3,1
Agricultural and Environmental Plant Sciences,20,15,166,11,12,1,21,14,66,6,15,1,9,24,27,2,6,3,12,2,6,2,25,2,2,12,8,1,12,6
Agricultural Business,13,6,65,22,3,1,6,13,39,8,4,3,14,0,57,2,20,3,7,0,3,1,22,6,2,15,3,1,3,7
Agricultural Communication,13,12,52,13,3,0,9,11,29,4,3,4,13,0,39,4,11,3,0,0,34,2,15,24,3,7,4,0,2,4
Agricultural Science,27,19,157,29,5,3,9,27,110,8,19,2,17,1,99,9,29,2,9,0,18,5,53,17,1,25,4,1,6,11
Agricultural Systems Management,9,32,58,30,10,2,8,7,84,10,52,2,33,0,67,1,14,3,7,0,12,14,43,11,13,4,7,1,20,26
Animal Science,20,16,150,59,19,6,98,78,138,17,20,4,37,8,139,17,32,15,10,1,11,16,23,6,8,24,18,7,11,21
Anthropology and Geography,80,10,35,17,15,0,11,19,142,3,5,12,28,5,9,6,25,0,17,3,13,8,55,6,0,0,1,14,3,7
Architectural Engineering,2,15,1,23,0,1,1,1,4,8,16,0,24,0,0,0,2,9,1,0,4,18,10,4,5,0,30,2,38,1
Architecture,12,1,3,2,0,0,0,3,10,0,7,0,3,1,3,1,1,10,3,0,6,4,5,5,3,0,30,1,51,2
Art and Design,105,18,14,15,3,2,0,1,6,0,9,1,23,1,1,4,4,4,11,2,57,1,1,13,1,4,1,4,14,4
Biochemistry,1,5,4,26,5,0,91,9,8,5,9,6,35,0,2,22,0,12,0,0,4,10,3,1,16,3,15,0,3,3
Biological Sciences,41,27,39,39,31,0,105,51,124,25,21,17,60,4,10,51,9,25,24,0,22,12,44,8,2,0,13,11,5,6
Biomedical Engineering,2,42,7,48,7,0,50,6,10,24,56,0,51,1,6,4,3,28,3,0,15,30,3,4,32,11,20,4,30,14
BioResource and Agricultural Engineering,6,27,20,17,11,0,20,2,38,13,65,0,19,0,16,0,9,11,4,0,7,22,22,5,7,1,13,0,13,9
Business Administration,14,9,11,36,0,2,0,5,5,8,4,1,15,1,5,3,33,2,4,1,4,0,0,5,2,25,1,6,1,9
Chemistry,1,20,4,24,4,0,67,3,6,13,16,7,34,3,1,22,0,15,0,0,3,19,3,2,16,3,12,1,1,3
Child Development,23,3,0,4,6,0,18,26,11,2,0,17,9,0,0,12,1,1,1,0,5,1,0,2,1,0,2,5,0,0
City and Regional Planning,114,16,24,56,11,1,2,14,180,16,14,8,47,1,5,7,37,6,15,0,23,5,50,15,1,4,4,27,19,5
Civil Engineering,3,24,11,19,5,0,11,0,40,13,59,0,24,1,3,2,4,18,4,0,2,22,50,3,8,0,20,2,42,1
Communication Studies,32,1,1,9,1,0,0,2,5,2,2,0,12,1,0,2,3,0,4,0,11,1,2,12,1,1,1,2,3,1
Comparative Ethnic Studies,435,8,17,45,18,16,3,23,78,5,15,10,54,12,5,27,54,1,83,10,15,2,33,6,5,8,2,22,15,5
Computer Engineering,5,82,15,39,3,4,3,3,18,18,27,2,49,10,7,4,2,26,4,0,19,28,1,3,45,4,5,0,29,33
Computer Science,10,245,30,52,7,11,35,1,43,56,56,2,69,29,17,29,12,23,12,1,43,33,2,19,24,17,15,7,38,22
Construction Management,5,5,12,24,0,2,2,5,26,7,12,1,18,0,2,5,11,6,1,0,5,5,9,5,6,9,21,2,71,3
Dairy Science,4,11,69,17,6,3,35,28,42,9,10,2,11,0,110,6,21,4,4,0,10,7,7,7,6,10,8,4,4,10
Economics,3,20,1,18,0,1,0,2,0,10,3,1,8,2,0,1,24,2,1,1,1,3,0,5,1,9,1,1,5,0
Electrical Engineering,2,210,28,90,15,16,20,0,42,48,123,2,96,16,30,9,19,48,14,0,63,89,8,26,87,6,17,2,55,35
English,50,2,4,8,5,0,0,0,3,2,0,0,26,50,0,17,1,0,22,9,5,0,0,1,0,1,0,0,1,0
Environmental Earth and Soil Sciences,83,48,197,47,28,3,29,30,356,13,47,11,45,10,33,11,22,11,18,0,25,18,267,22,7,8,23,16,23,17
Environmental Engineering,2,19,12,15,8,0,27,9,43,18,45,0,18,0,6,1,4,10,4,0,7,29,39,4,8,0,7,0,9,4
Environmental Management and Protection,95,38,211,55,29,3,39,33,379,18,32,10,44,5,36,11,29,9,15,0,23,16,230,19,3,14,19,16,23,21
Food Science,13,8,35,16,6,3,27,15,25,6,13,5,13,0,113,1,4,7,7,0,5,6,9,0,10,5,7,3,6,23
Forest and Fire Sciences,92,40,223,48,29,3,34,39,409,14,34,11,39,5,38,13,27,9,16,0,25,11,271,15,4,9,18,20,25,19
General Engineering,0,17,6,23,3,2,23,1,4,14,27,2,27,2,1,0,2,13,0,0,4,25,7,8,20,0,16,2,10,4
Graphic Communication,9,44,40,32,4,2,2,3,41,8,7,1,22,2,13,0,6,4,7,0,99,2,2,37,8,32,10,7,13,64
History,93,0,0,7,0,0,0,0,3,0,1,0,8,26,0,6,16,0,9,3,0,0,0,0,0,0,1,3,3,1
Industrial Engineering,19,82,32,72,18,4,10,2,66,39,66,7,86,3,13,3,24,18,19,0,13,29,21,11,29,24,15,15,35,33
Industrial Technology and Packaging,1,10,10,7,1,1,1,1,11,5,5,0,4,0,11,2,3,3,3,0,4,4,0,2,4,10,2,0,4,25
Interdisciplinary Studies,39,4,0,4,0,0,0,0,0,6,1,0,4,1,0,3,6,0,4,0,4,2,0,3,0,1,0,12,1,0
Journalism,16,12,16,12,2,1,0,1,7,11,3,1,6,0,0,3,11,2,13,0,48,4,0,14,4,6,0,2,1,0
Kinesiology,43,11,6,20,19,4,29,134,33,4,8,12,29,3,3,12,2,3,17,1,18,13,2,26,5,0,9,15,3,0
Landscape Architecture,15,9,10,5,3,0,3,4,25,3,3,1,8,0,2,13,1,2,3,0,11,2,7,8,1,2,0,3,17,3
Liberal Arts and Engineering Studies,22,68,20,32,3,8,1,0,21,16,37,1,36,9,8,5,4,10,6,3,36,17,6,14,9,5,7,7,25,27
Liberal Studies,177,10,27,26,23,5,50,53,35,6,21,17,51,14,8,100,18,23,54,8,16,15,18,9,8,3,18,9,12,3
Manufacturing Engineering,17,74,35,72,18,4,14,3,65,28,72,8,84,2,22,1,25,19,19,0,19,32,21,9,51,30,17,15,56,46
Marine Sciences,23,27,29,33,33,2,67,9,94,23,22,16,49,4,4,39,9,19,27,0,14,15,38,6,2,4,12,12,6,2
Materials Engineering,1,26,12,40,8,4,21,4,21,15,43,5,39,2,14,20,7,15,7,0,16,30,5,8,70,7,22,1,40,34
Mathematics,2,32,6,35,4,3,4,1,7,58,18,1,38,10,3,7,6,66,6,2,0,57,5,10,13,3,4,3,10,5
Mechanical Engineering,2,66,22,45,10,7,8,4,20,22,88,6,67,1,21,4,2,17,18,0,25,55,15,12,82,4,13,4,61,33
Microbiology,6,27,30,26,19,1,93,33,30,14,15,3,31,2,50,3,4,13,8,0,6,10,12,4,7,1,11,2,5,10
Music,9,2,3,4,9,117,0,0,0,1,0,0,27,3,1,10,0,0,15,0,2,1,0,0,0,2,3,1,1,1
Nutrition,27,7,16,28,17,6,72,96,26,6,9,12,27,2,23,10,9,17,9,0,8,9,3,6,3,3,13,6,7,4
Philosophy,24,2,0,9,3,0,1,3,9,0,5,3,11,0,0,7,2,2,2,6,11,0,0,0,0,1,0,1,1,3
Physics,11,4,0,13,5,0,4,0,4,11,5,6,20,0,0,0,0,11,4,0,6,35,0,3,17,0,2,0,3,8
Political Science,139,9,8,39,2,0,1,11,16,7,12,2,14,4,2,2,11,3,16,0,9,1,4,5,6,4,2,5,12,0
Public Health,109,15,14,28,11,2,42,152,59,18,9,7,21,46,8,15,5,8,11,4,26,5,3,15,4,2,15,17,6,0
Psychology,98,6,2,11,11,0,21,29,13,2,6,8,20,4,1,13,3,3,9,0,7,1,0,6,2,1,2,12,2,0
"Recreation, Parks, and Tourism Administration",92,10,71,62,12,3,2,19,122,11,7,13,46,2,30,13,24,6,23,0,31,2,17,36,0,58,8,22,16,12
Sociology,135,3,13,38,0,1,1,17,16,5,11,6,22,3,3,9,9,1,9,1,16,1,2,11,1,5,4,16,9,1
Software Engineering,5,215,24,48,7,7,40,2,44,54,51,1,59,27,17,28,8,22,11,0,23,36,1,16,22,14,16,7,34,21
Spanish,209,2,4,31,18,11,0,16,45,1,2,10,68,76,0,28,31,0,59,67,14,0,14,7,3,3,4,14,10,3
Statistics,1,33,3,23,2,2,0,0,3,54,10,2,30,6,3,1,0,18,4,0,1,19,1,6,0,0,0,1,8,5
Theatre Arts,11,4,8,7,8,13,0,0,2,2,0,0,17,2,0,1,1,0,13,1,3,0,0,6,6,1,11,2,20,5
Wine and Viticulture,24,6,89,40,10,1,43,12,50,8,7,4,25,30,29,3,32,5,8,3,16,5,14,4,2,45,12,7,9,11
Accounting,0,3,1,1,1,0,0,0,1,0,4,0,0,0,1,0,28,0,1,0,0,0,1,0,1,1,1,0,1,1
Consumer Packaging,1,3,6,6,1,0,0,0,7,3,1,0,2,0,5,0,1,1,0,0,3,0,0,1,0,7,1,1,3,32
Entrepreneurship,9,4,1,17,2,0,0,0,4,1,1,0,10,0,6,1,8,0,4,0,9,0,0,5,1,25,5,3,8,6
"Ethics, Law and Social Justice",62,6,0,8,2,0,1,5,5,1,7,0,7,0,0,0,4,1,4,0,5,0,0,0,4,0,1,5,6,0
Financial Management,1,15,10,15,2,0,0,1,7,12,5,0,7,1,3,1,62,3,3,1,2,3,1,0,3,14,7,1,4,3
