Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Aerospace Engineering,2,39,14,48,0,9,5,5,20,8,164,1,56,0,5,9,5,30,1,0,46,3,12,28,8
Agricultural and Environmental Plant Sciences,20,15,166,11,12,1,26,14,6,66,15,1,9,28,63,2,6,3,12,2,2,6,25,2,2
Agricultural Business,13,6,65,22,3,1,9,13,8,39,4,3,14,0,70,2,21,3,7,0,1,3,22,2,6
Agricultural Communication,13,12,52,13,3,0,12,11,4,29,3,4,13,6,49,4,12,3,0,0,2,34,15,3,24
Agricultural Science,27,19,157,29,5,3,12,27,8,110,19,2,17,1,149,9,31,2,9,0,5,18,53,1,17
Agricultural Systems Management,9,32,58,30,10,2,13,7,10,84,52,2,33,1,87,1,14,3,7,0,14,12,43,13,11
Animal Science,20,16,150,59,19,6,104,78,17,138,20,4,37,9,199,17,32,15,10,1,16,11,23,8,6
Anthropology and Geography,80,10,35,17,15,0,12,19,3,142,5,12,28,7,20,6,36,0,17,3,8,13,55,0,6
Architectural Engineering,2,15,1,23,0,1,2,1,8,4,16,0,24,0,0,0,2,9,1,0,18,4,10,5,4
Architecture,12,1,3,2,0,0,1,3,0,10,7,0,3,1,5,1,1,10,3,0,4,6,5,3,5
Art and Design,105,18,14,15,3,2,1,1,0,6,9,1,23,6,3,4,6,4,11,2,1,57,1,1,13
Biochemistry,1,5,4,26,5,0,102,9,5,8,9,6,35,0,2,22,0,12,0,0,10,4,3,16,1
Biological Sciences,41,27,39,39,31,0,106,51,25,124,21,17,60,5,22,51,9,25,24,0,12,22,44,2,8
Biomedical Engineering,2,42,7,48,7,0,60,6,24,10,56,0,51,1,7,4,3,28,3,0,30,15,3,32,4
BioResource and Agricultural Engineering,6,27,20,17,11,0,24,2,13,38,65,0,19,0,21,0,9,11,4,0,22,7,22,7,5
Business Administration,14,9,11,36,0,2,1,5,8,5,4,1,15,2,10,3,42,2,4,1,0,4,0,2,5
Chemistry,1,20,4,24,4,0,79,3,13,6,16,7,34,3,1,22,0,15,0,0,19,3,3,16,2
Child Development,23,3,0,4,6,0,20,26,2,11,0,17,9,1,0,12,1,1,1,0,1,5,0,1,2
City and Regional Planning,114,16,24,56,11,1,3,14,16,180,14,8,47,4,23,7,43,6,15,0,5,23,50,1,15
Civil Engineering,3,24,11,19,5,0,16,0,13,40,59,0,24,1,9,2,4,18,4,0,22,2,50,8,3
Communication Studies,32,1,1,9,1,0,0,2,2,5,2,0,12,2,1,2,3,0,4,0,1,11,2,1,12
Comparative Ethnic Studies,435,8,17,45,18,16,4,23,5,78,15,10,54,18,6,27,84,1,83,10,2,15,33,5,6
Computer Engineering,5,82,15,39,3,4,8,3,18,18,27,2,49,10,15,4,2,26,4,0,28,19,1,45,3
Computer Science,10,245,30,52,7,11,42,1,56,43,56,2,69,31,38,29,12,23,12,1,33,43,2,24,19
Construction Management,5,5,12,24,0,2,4,5,7,26,12,1,18,0,12,5,13,6,1,0,5,5,9,6,5
Dairy Science,4,11,69,17,6,3,39,28,9,42,10,2,11,4,134,6,21,4,4,0,7,10,7,6,7
Economics,3,20,1,18,0,1,0,2,10,0,3,1,8,2,0,1,26,2,1,1,3,1,0,1,5
Electrical Engineering,2,210,28,90,15,16,32,0,48,42,123,2,96,16,47,9,20,48,14,0,89,63,8,87,26
English,50,2,4,8,5,0,0,0,2,3,0,0,26,53,1,17,2,0,22,9,0,5,0,0,1
Environmental Earth and Soil Sciences,83,48,197,47,28,3,38,30,13,356,47,11,45,10,103,11,33,11,18,0,18,25,267,7,22
Environmental Engineering,2,19,12,15,8,0,25,9,18,43,45,0,18,0,12,1,6,10,4,0,29,7,39,8,4
Environmental Management and Protection,95,38,211,55,29,3,50,33,18,379,32,10,44,6,116,11,38,9,15,0,16,23,230,3,19
Food Science,13,8,35,16,6,3,31,15,6,25,13,5,13,1,120,1,4,7,7,0,6,5,9,10,0
Forest and Fire Sciences,92,40,223,48,29,3,44,39,14,409,34,11,39,6,128,13,41,9,16,0,11,25,271,4,15
General Engineering,0,17,6,23,3,2,36,1,14,4,27,2,27,2,3,0,2,13,0,0,25,4,7,20,8
Graphic Communication,9,44,40,32,4,2,7,3,8,41,7,1,22,3,36,0,8,4,7,0,2,99,2,8,37
History,93,0,0,7,0,0,0,0,0,3,1,0,8,20,0,6,17,0,9,3,0,0,0,0,0
Industrial Engineering,19,82,32,72,18,4,16,2,39,66,66,7,86,3,30,3,25,18,19,0,29,13,21,29,11
Industrial Technology and Packaging,1,10,10,7,1,1,3,1,5,11,5,0,4,0,18,2,3,3,3,0,4,4,0,4,2
Interdisciplinary Studies,39,4,0,4,0,0,0,0,6,0,1,0,4,1,0,3,6,0,4,0,2,4,0,0,3
Journalism,16,12,16,12,2,1,0,1,11,7,3,1,6,14,5,3,12,2,13,0,4,48,0,4,14
Kinesiology,43,11,6,20,19,4,37,134,4,33,8,12,29,4,6,12,5,3,17,1,13,18,2,5,26
Landscape Architecture,15,9,10,5,3,0,3,4,3,25,3,1,8,1,7,13,1,2,3,0,2,11,7,1,8
Liberal Arts and Engineering Studies,22,68,20,32,3,8,2,0,16,21,37,1,36,10,19,5,4,10,6,3,17,36,6,9,14
Liberal Studies,177,10,27,26,23,5,60,53,6,35,21,17,51,21,12,100,23,23,54,8,15,16,18,8,9
Manufacturing Engineering,17,74,35,72,18,4,22,3,28,65,72,8,84,2,39,1,26,19,19,0,32,19,21,51,9
Marine Sciences,23,27,29,33,33,2,75,9,23,94,22,16,49,4,16,39,9,19,27,0,15,14,38,2,6
Materials Engineering,1,26,12,40,8,4,32,4,15,21,43,5,39,2,20,20,11,15,7,0,30,16,5,70,8
Mathematics,2,32,6,35,4,3,8,1,58,7,18,1,38,10,8,7,7,66,6,2,57,0,5,13,10
Mechanical Engineering,2,66,22,45,10,7,13,4,22,20,88,6,67,2,23,4,3,17,18,0,55,25,15,82,12
Microbiology,6,27,30,26,19,1,93,33,14,30,15,3,31,2,55,3,4,13,8,0,10,6,12,7,4
Music,9,2,3,4,9,117,3,0,1,0,0,0,27,5,1,10,0,0,15,0,1,2,0,0,0
Nutrition,27,7,16,28,17,6,77,96,6,26,9,12,27,4,26,10,9,17,9,0,9,8,3,3,6
Philosophy,24,2,0,9,3,0,1,3,0,9,5,3,11,1,0,7,2,2,2,6,0,11,0,0,0
Physics,11,4,0,13,5,0,6,0,11,4,5,6,20,0,0,0,0,11,4,0,35,6,0,17,3
Political Science,139,9,8,39,2,0,2,11,7,16,12,2,14,5,6,2,24,3,16,0,1,9,4,6,5
Public Health,109,15,14,28,11,2,52,152,18,59,9,7,21,48,14,15,8,8,11,4,5,26,3,4,15
Psychology,98,6,2,11,11,0,23,29,2,13,6,8,20,7,3,13,5,3,9,0,1,7,0,2,6
"Recreation, Parks, and Tourism Administration",92,10,71,62,12,3,4,19,11,122,7,13,46,5,67,13,37,6,23,0,2,31,17,0,36
Sociology,135,3,13,38,0,1,4,17,5,16,11,6,22,4,8,9,14,1,9,1,1,16,2,1,11
Software Engineering,5,215,24,48,7,7,45,2,54,44,51,1,59,28,37,28,8,22,11,0,36,23,1,22,16
Spanish,209,2,4,31,18,11,3,16,1,45,2,10,68,79,0,28,44,0,59,67,0,14,14,3,7
Statistics,1,33,3,23,2,2,0,0,54,3,10,2,30,7,6,1,0,18,4,0,19,1,1,0,6
Theatre Arts,11,4,8,7,8,13,4,0,2,2,0,0,17,3,2,1,1,0,13,1,0,3,0,6,6
Wine and Viticulture,24,6,89,40,10,1,47,12,8,50,7,4,25,35,55,3,41,5,8,3,5,16,14,2,4
Accounting,0,3,1,1,1,0,1,0,0,1,4,0,0,0,2,0,26,0,1,0,0,0,1,1,0
Consumer Packaging,1,3,6,6,1,0,1,0,3,7,1,0,2,0,7,0,2,1,0,0,0,3,0,0,1
Entrepreneurship,9,4,1,17,2,0,1,0,1,4,1,0,10,0,6,1,9,0,4,0,0,9,0,1,5
"Ethics, Law and Social Justice",62,6,0,8,2,0,2,5,1,5,7,0,7,0,0,0,9,1,4,0,0,5,0,4,0
