Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Aerospace Engineering,2,34,45,4,1,0,9,2,0,5,2,0,49,0,0,3,0,10,0,0
Agricultural and Environmental Plant Sciences,18,13,0,80,3,4,1,12,11,1,15,0,8,14,19,1,6,1,2,2
Agricultural Business,11,6,0,36,10,0,1,3,12,4,13,0,11,0,46,0,17,0,5,0
Agricultural Communication,10,4,0,31,5,0,0,5,7,1,6,0,7,0,32,1,9,1,0,0
Agricultural Science,16,14,5,64,14,1,3,5,20,2,30,0,14,0,60,2,27,1,0,0
Agricultural Systems Management,6,26,14,28,10,4,2,2,3,3,29,0,25,0,45,1,12,0,2,0
Animal Science,12,14,9,56,25,3,6,49,54,7,40,0,32,5,72,3,30,2,4,1
Anthropology and Geography,41,3,8,20,4,8,0,4,10,1,66,0,14,3,6,2,22,0,1,2
Architectural Engineering,1,9,4,1,0,0,1,1,0,2,1,0,23,0,0,0,1,4,0,0
Architecture,7,0,3,1,0,0,0,0,1,0,6,0,2,1,3,0,1,2,0,0
Art and Design,61,4,0,11,7,3,2,0,0,0,0,0,8,1,1,1,4,0,8,2
Biochemistry,1,2,6,4,5,0,0,69,8,3,4,0,28,0,1,12,0,5,0,0
Biological Sciences,19,18,5,19,4,11,0,59,42,13,64,1,45,3,7,29,9,12,11,0
Biomedical Engineering,1,28,10,6,6,0,0,28,1,7,4,0,45,1,3,2,3,9,0,0
BioResource and Agricultural Engineering,5,17,14,13,3,3,0,10,1,3,11,0,16,0,4,0,9,5,1,0
Business Administration,8,7,0,0,22,0,2,0,0,5,0,0,12,1,3,1,23,0,1,0
Chemistry,1,14,5,4,5,0,0,61,2,3,3,0,26,3,0,12,0,8,0,0
Child Development,9,0,0,0,0,1,0,7,1,1,3,14,5,0,0,6,0,0,0,0
City and Regional Planning,49,8,4,4,15,9,1,0,5,7,112,0,34,1,4,2,30,2,1,0
Civil Engineering,0,17,4,3,0,0,0,8,0,2,13,0,23,1,0,0,1,10,4,0
Communication Studies,19,0,0,0,3,0,0,0,0,1,1,0,8,1,0,1,3,0,2,0
Comparative Ethnic Studies,249,4,0,14,11,14,13,0,13,1,37,1,45,4,5,6,39,0,50,10
Computer Engineering,4,56,10,6,3,3,3,3,2,5,4,0,38,10,4,0,1,18,0,0
Computer Science,5,119,8,9,6,2,11,24,1,29,10,1,50,28,5,11,5,12,2,0
Construction Management,2,3,3,2,8,0,2,2,2,3,10,0,14,0,2,2,9,3,1,0
Dairy Science,3,9,3,30,6,1,3,22,21,4,7,0,10,0,83,2,18,2,2,0
Economics,1,15,1,1,9,0,1,0,0,5,0,0,7,2,0,1,18,0,1,1
Electrical Engineering,1,121,49,10,8,11,15,15,0,13,13,0,83,16,6,8,8,26,0,0
English,42,0,0,1,1,2,0,0,0,2,0,0,26,28,0,14,1,0,19,6
Environmental Earth and Soil Sciences,48,31,15,82,10,13,3,12,16,4,157,0,33,5,20,3,20,5,0,0
