Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Aerospace Engineering,9,42,62,48,0,9,7,12,70,15,242,4,60,3,10,12,7,34,1,9,65,4,15,39,14
Agricultural and Environmental Plant Sciences,21,20,212,18,13,1,38,14,16,71,22,1,15,35,92,2,6,4,12,4,2,11,27,6,4
Agricultural Business,20,7,108,28,3,1,19,13,21,46,15,3,15,3,87,3,24,4,7,1,1,4,23,5,6
Agricultural Communication,20,12,80,18,3,0,25,11,14,38,10,5,15,9,65,5,12,4,0,2,2,43,16,5,24
Agricultural Science,38,21,211,36,5,3,23,27,22,129,37,3,19,5,185,9,33,4,14,4,5,21,57,6,21
Agricultural Systems Management,20,35,109,31,10,2,21,10,36,96,82,4,35,6,108,1,18,8,7,6,16,14,50,28,21
Animal Science,34,18,220,70,19,6,158,88,51,160,59,4,47,26,275,19,35,19,10,5,20,13,28,24,24
Anthropology and Geography,113,13,57,17,15,1,22,21,19,211,24,15,28,8,35,13,36,1,17,3,9,16,56,1,12
Architectural Engineering,4,15,24,23,0,1,4,3,34,6,45,0,27,1,7,1,2,13,1,2,26,4,11,11,5
Architecture,14,2,5,2,0,0,1,3,2,17,12,0,3,2,9,2,1,12,3,0,4,7,6,4,5
Art and Design,110,19,22,15,3,2,1,1,8,12,17,1,24,10,16,6,6,4,11,4,1,80,8,8,18
Biochemistry,8,5,26,27,6,0,132,14,28,11,36,6,40,15,17,34,0,22,0,0,14,8,10,40,1
Biological Sciences,57,30,87,45,33,0,154,63,64,178,61,18,68,19,36,94,13,27,24,8,12,26,47,8,12
Biomedical Engineering,8,45,52,48,7,0,81,11,71,12,111,1,54,16,19,10,6,41,3,16,39,19,26,63,11
BioResource and Agricultural Engineering,17,28,37,17,11,0,34,8,30,53,90,0,21,6,33,2,9,18,4,7,29,8,30,19,9
Business Administration,24,10,24,41,3,2,2,8,22,21,16,1,15,5,11,3,45,3,4,2,0,6,1,7,8
Chemistry,8,23,23,25,5,0,102,8,37,10,40,7,40,15,16,34,0,24,0,0,24,7,10,40,2
Child Development,25,3,3,4,6,0,24,43,8,12,3,19,10,5,3,15,1,2,1,2,1,7,0,1,2
City and Regional Planning,163,17,62,56,11,1,8,23,55,257,51,8,48,6,31,11,46,7,15,4,6,34,57,10,23
Civil Engineering,10,25,30,21,5,0,23,8,35,48,83,0,28,6,14,5,4,24,4,9,29,3,58,20,4
Communication Studies,41,1,7,10,1,0,2,5,11,11,8,0,12,3,1,3,4,0,4,0,1,15,3,2,15
Comparative Ethnic Studies,513,11,58,47,19,16,10,34,42,165,49,12,55,28,16,38,84,1,83,10,3,27,34,5,12
Computer Engineering,9,108,53,39,4,5,29,7,54,25,68,3,52,15,29,5,5,35,4,2,35,19,13,80,12
Computer Science,23,304,81,53,7,11,72,9,107,60,113,5,72,40,52,33,15,33,12,19,40,49,21,62,30
Construction Management,11,5,25,27,0,2,7,6,21,35,28,2,18,2,16,7,15,9,1,4,9,7,16,17,7
Dairy Science,10,12,114,22,7,3,64,32,23,49,23,5,13,11,161,7,23,5,4,2,7,15,8,11,10
Economics,14,23,8,20,0,1,0,3,18,11,10,3,8,2,1,1,29,4,1,1,3,2,4,5,5
Electrical Engineering,27,284,111,90,17,18,51,4,130,56,235,6,106,28,68,12,24,62,14,13,111,67,36,139,37
English,73,19,11,11,5,0,1,0,9,6,7,0,26,77,2,18,2,0,22,9,5,23,1,1,1
Environmental Earth and Soil Sciences,115,53,260,53,28,3,58,39,50,415,92,12,47,24,144,21,36,20,18,14,21,33,289,25,32
Environmental Engineering,10,19,31,16,8,1,36,20,37,58,75,0,21,4,24,4,7,12,4,3,36,10,40,14,5
Environmental Management and Protection,135,40,285,64,29,3,68,37,56,445,77,11,47,22,155,22,40,16,15,16,17,31,250,21,31
Food Science,17,8,96,16,6,3,51,20,18,35,24,6,14,8,137,2,5,9,7,5,6,8,14,26,2
Forest and Fire Sciences,131,42,290,57,29,3,63,43,47,472,70,12,40,21,170,24,43,18,16,18,12,33,292,23,25
General Engineering,6,19,30,23,3,2,47,5,40,8,58,4,28,15,9,5,2,17,0,3,36,4,14,33,10
Graphic Communication,9,48,58,35,4,2,12,3,20,50,16,1,23,8,47,0,10,5,7,1,2,108,9,38,49
History,123,6,6,7,0,0,0,0,6,18,7,0,9,41,0,7,17,0,9,3,3,3,0,0,1
Industrial Engineering,36,86,98,75,18,4,27,8,104,102,138,8,90,10,46,9,37,27,19,10,39,13,45,70,24
Industrial Technology and Packaging,3,11,12,8,1,1,3,1,9,17,8,0,4,2,21,2,4,5,3,3,4,4,2,14,5
Interdisciplinary Studies,46,4,3,4,0,0,2,0,18,6,4,1,6,1,0,3,6,0,4,0,2,8,1,1,3
Journalism,24,12,22,12,2,1,0,1,24,11,9,2,7,14,11,4,12,2,13,1,4,82,1,5,16
Kinesiology,50,13,18,28,20,4,40,175,20,40,20,12,34,12,22,16,10,4,17,1,13,20,4,8,40
Landscape Architecture,20,9,17,5,3,0,6,5,9,30,6,1,8,1,9,16,1,4,3,2,2,13,13,8,10
Liberal Arts and Engineering Studies,29,80,46,34,5,8,6,0,45,28,67,4,40,12,32,5,6,13,6,9,22,46,18,30,21
Liberal Studies,232,20,53,29,23,5,93,73,24,69,48,17,55,39,30,144,25,33,54,13,22,29,21,17,17
Manufacturing Engineering,36,78,100,74,18,4,38,9,92,105,148,10,87,12,61,7,36,28,19,12,43,23,58,110,23
Marine Sciences,37,30,59,36,35,2,119,16,53,147,52,16,54,17,24,64,12,23,27,5,17,16,45,8,7
Materials Engineering,14,27,44,42,10,5,50,9,50,28,89,8,48,15,38,35,12,29,7,7,41,22,31,121,12
Mathematics,6,43,39,37,4,4,15,1,96,12,63,3,39,14,16,27,9,77,6,6,75,1,10,28,10
Mechanical Engineering,11,74,67,53,11,7,32,14,73,25,175,9,76,9,47,7,6,28,18,16,69,33,49,142,16
Microbiology,14,29,82,29,21,1,128,38,41,37,43,4,36,13,70,4,4,14,8,1,10,7,14,15,7
Music,18,2,10,13,9,146,3,0,5,0,4,0,27,8,2,10,0,0,15,2,1,4,0,2,0
Nutrition,37,8,52,30,17,6,109,120,26,34,29,12,31,18,35,11,10,20,9,3,9,14,8,11,12
Philosophy,32,2,10,9,3,0,9,6,8,11,13,3,11,1,1,7,4,2,2,6,0,14,0,0,0
Physics,12,4,13,13,5,0,15,2,24,4,22,6,27,2,4,0,2,13,4,1,48,6,0,23,3
Political Science,164,13,24,39,2,0,11,16,22,40,24,2,15,7,8,2,25,3,16,0,2,15,8,10,9
Public Health,121,25,35,28,11,2,71,189,35,83,24,7,23,70,28,19,11,8,11,6,7,36,6,8,26
Psychology,101,9,9,12,13,0,31,62,12,16,13,8,22,11,4,18,9,4,9,1,1,14,0,2,12
"Recreation, Parks, and Tourism Administration",117,12,118,66,14,3,11,30,41,171,32,15,48,8,75,22,47,8,23,5,2,40,25,10,60
Sociology,150,6,36,38,0,1,9,30,29,36,31,6,22,9,15,14,15,1,9,1,2,20,4,3,20
Software Engineering,17,258,73,49,7,7,75,12,103,61,104,4,62,38,45,30,12,32,11,18,44,27,19,59,23
Spanish,276,22,30,40,18,12,8,19,27,92,28,11,70,100,5,35,44,0,59,68,0,26,14,3,9
Statistics,2,38,26,25,2,2,2,0,83,4,34,3,31,7,6,1,0,26,4,3,19,3,7,6,7
Theatre Arts,17,6,14,12,9,14,5,0,8,3,7,1,18,9,11,1,1,1,13,3,0,6,6,12,8
Wine and Viticulture,39,12,140,52,11,1,65,15,28,65,27,5,30,48,74,4,45,7,8,3,5,26,17,12,7
Accounting,2,3,1,12,8,0,1,0,0,2,4,0,0,1,2,0,33,0,1,0,0,1,2,2,0
Consumer Packaging,1,3,8,6,1,0,1,0,5,9,3,0,3,1,9,0,3,1,0,3,0,3,2,18,1
Entrepreneurship,10,4,7,20,2,0,1,0,3,5,3,1,10,1,6,1,12,0,4,0,0,9,4,5,11
"Ethics, Law and Social Justice",73,6,8,8,2,0,3,8,8,8,14,0,7,2,0,1,9,1,4,0,0,8,2,6,1
Financial Management,10,16,15,17,6,0,7,2,17,17,10,0,7,7,11,1,89,3,3,2,3,3,4,6,0
Global Citizenship and Social Sustainability,169,2,24,10,12,0,5,6,10,133,21,11,20,5,11,4,37,0,28,1,5,23,21,2,6
Health and Society,140,10,22,4,23,0,26,68,5,113,14,20,23,4,16,14,12,4,15,1,1,28,14,3,5
Industrial Technology,2,6,23,24,4,2,0,2,4,15,9,0,8,0,20,3,11,0,4,1,1,9,4,23,7
Information Systems,2,11,10,12,0,1,0,0,4,10,4,1,3,2,7,3,2,0,0,8,0,1,2,2,9
Management and Human Resources,5,1,12,22,0,7,2,1,3,18,4,0,8,1,6,6,3,1,0,0,0,8,2,2,10
Marketing Management,3,4,22,11,2,0,0,0,5,2,3,0,6,0,6,2,3,0,2,4,0,7,2,2,5
Packaging Technology,0,1,13,7,3,0,3,0,3,2,2,0,2,0,16,1,2,0,2,0,0,3,2,20,2
Quantitative Analysis,4,17,21,22,0,1,0,0,67,5,24,0,21,2,4,1,16,31,1,5,37,0,2,2,4
Real Estate Finance,8,4,12,8,2,0,2,1,9,22,5,0,5,2,8,0,27,1,2,2,2,1,7,7,1
"Science, Technology and Society",92,8,16,3,16,0,27,11,2,129,17,21,24,5,9,9,17,1,16,3,5,48,26,2,14
Visual Media and Cultural Studies,126,7,24,17,7,16,1,0,16,2,18,0,30,11,8,4,3,0,22,9,1,23,1,2,3
"Bioinformatics, Cross Disciplinary Studies",0,21,12,12,3,2,40,1,13,3,13,0,17,6,4,0,0,1,2,0,1,1,3,5,5
"Data Science, Cross Disciplinary Studies",0,27,14,11,0,2,5,0,34,5,15,0,15,5,4,4,0,5,0,1,11,1,3,3,6
"Heavy Civil, Cross Disciplinary Studies",2,5,15,4,0,1,0,0,4,13,12,0,6,0,8,0,3,0,0,2,0,1,3,5,0
