Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Aerospace Engineering,10,95,266,63,48,2,9,7,16,77,18,4,63,15,10,18,9,50,1,16
Agricultural and Environmental Plant Sciences,25,28,24,222,19,18,1,40,19,19,76,2,15,35,95,11,8,4,12,11
Agricultural Business,23,18,16,111,35,11,1,23,20,24,49,5,17,4,96,15,26,6,7,12
Agricultural Communication,21,19,12,81,21,14,0,30,16,18,39,7,17,11,71,18,16,5,0,10
Agricultural Science,45,38,38,220,41,11,3,27,34,26,135,7,23,7,206,18,36,4,19,17
Agricultural Systems Management,21,64,86,112,31,16,2,25,22,44,108,6,36,9,115,19,21,13,7,12
Animal Science,36,48,68,234,72,35,6,189,111,56,169,18,54,27,331,50,42,27,10,20
Anthropology and Geography,122,26,26,64,17,19,1,22,30,25,233,16,28,30,45,22,37,2,17,14
Architectural Engineering,5,38,63,25,23,2,1,4,9,41,6,0,27,4,7,9,3,24,1,5
Architecture,17,4,13,6,2,0,0,1,6,2,17,0,4,2,10,5,1,21,3,1
Art and Design,126,28,18,22,15,5,2,7,3,10,12,3,24,14,16,8,6,4,11,14
Biochemistry,12,25,42,41,27,11,0,154,27,32,13,11,42,15,18,54,0,30,0,2
Biological Sciences,58,65,68,108,45,50,0,179,74,76,191,23,69,32,60,119,19,32,24,21
Biomedical Engineering,13,101,137,54,48,16,0,93,18,83,14,4,55,20,20,26,10,52,3,20
BioResource and Agricultural Engineering,17,54,104,39,17,13,0,36,15,37,59,5,21,10,35,11,10,26,4,11
Business Administration,27,22,16,25,41,4,2,2,9,27,22,1,19,11,11,6,52,5,4,12
Chemistry,12,41,56,38,25,11,0,113,21,47,12,11,42,16,16,55,1,31,0,6
Child Development,26,6,4,3,6,9,0,30,49,12,12,23,10,5,4,19,3,3,1,2
City and Regional Planning,182,55,54,64,56,16,1,8,29,64,288,11,48,24,37,20,58,10,15,25
Civil Engineering,11,49,104,32,21,7,0,24,13,43,56,5,28,9,14,12,5,34,4,14
Communication Studies,46,8,9,7,10,3,0,2,5,14,11,0,12,5,1,5,4,0,4,1
Comparative Ethnic Studies,565,53,51,62,47,32,16,10,37,52,180,15,55,70,26,45,91,3,83,22
Computer Engineering,13,169,93,59,39,21,5,30,18,68,26,3,53,19,31,30,7,47,4,19
Computer Science,31,362,142,92,53,21,11,80,16,173,61,14,75,45,53,54,34,48,12,72
Construction Management,11,19,32,26,27,3,2,7,9,24,35,2,20,4,18,13,16,13,1,7
Dairy Science,12,22,27,124,22,16,3,70,43,26,49,12,16,12,177,23,27,5,4,7
Economics,14,31,13,9,20,1,1,0,3,26,11,3,10,4,1,1,31,6,1,13
Electrical Engineering,31,426,305,115,90,28,18,53,16,165,58,12,106,38,68,34,47,79,14,39
English,87,26,12,11,11,9,0,1,0,10,6,1,26,94,2,19,3,1,22,27
Environmental Earth and Soil Sciences,122,88,101,280,54,35,3,61,56,65,462,18,49,44,155,39,45,31,18,37
Environmental Engineering,13,34,94,34,16,10,1,40,30,44,60,5,22,10,26,16,7,19,4,9
Environmental Management and Protection,141,76,82,305,65,35,3,75,52,69,491,17,49,37,166,39,53,22,15,31
Food Science,20,17,28,98,19,17,3,52,29,20,37,10,17,12,149,21,6,10,7,6
Forest and Fire Sciences,137,74,74,309,58,36,3,69,61,60,518,19,42,36,183,43,54,26,16,35
General Engineering,6,42,81,36,23,5,2,50,10,46,10,9,28,21,9,12,2,25,0,9
Graphic Communication,13,57,18,59,35,10,2,15,6,33,50,14,23,13,48,7,11,5,7,14
History,133,13,10,6,7,0,0,0,0,10,19,0,10,49,0,7,19,0,9,9
Industrial Engineering,41,156,164,104,75,22,4,28,14,124,113,12,90,22,46,19,45,37,19,22
Industrial Technology and Packaging,4,14,10,12,8,1,1,3,3,14,17,1,4,5,21,5,5,7,3,9
Interdisciplinary Studies,49,7,6,4,4,2,0,2,0,26,6,1,6,3,0,5,8,1,4,1
Journalism,32,21,13,22,12,2,1,1,1,31,11,4,7,15,11,4,16,3,13,11
Kinesiology,52,22,30,23,28,22,4,47,202,22,44,14,34,13,84,32,14,5,17,8
Landscape Architecture,23,12,8,17,5,6,0,7,6,13,34,3,8,1,11,20,2,20,3,8
Liberal Arts and Engineering Studies,33,117,82,47,34,18,9,6,5,68,31,10,40,17,32,14,11,22,6,19
