Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Aerospace Engineering,9,42,203,62,48,0,9,7,12,70,15,4,60,3,10,12,7,34,1,9
Agricultural and Environmental Plant Sciences,21,20,9,212,18,13,1,38,14,16,76,1,15,35,92,2,7,4,12,4
Agricultural Business,20,7,11,108,28,3,1,19,13,21,49,3,15,3,87,3,24,4,7,1
Agricultural Communication,20,12,7,80,18,3,0,25,11,14,39,5,15,9,65,5,12,4,0,2
Agricultural Science,38,21,24,211,36,5,3,23,27,22,128,3,19,5,185,9,33,4,14,4
Agricultural Systems Management,20,35,57,109,31,10,2,21,10,36,98,4,35,6,108,1,18,8,7,6
Animal Science,34,18,45,220,70,19,6,158,88,51,164,4,47,26,275,19,38,19,10,5
Anthropology and Geography,113,13,23,57,17,15,1,22,21,19,209,15,28,8,35,13,36,1,17,3
Architectural Engineering,4,15,49,24,23,0,1,4,3,34,6,0,27,1,7,1,2,13,1,2
Architecture,14,2,11,5,2,0,0,1,3,2,16,0,3,2,9,2,1,12,3,0
Art and Design,110,19,13,22,15,3,2,1,1,8,12,1,24,10,16,6,6,4,11,4
Biochemistry,8,5,37,26,27,6,0,132,14,28,11,6,40,15,17,34,0,22,0,0
Biological Sciences,57,30,54,87,45,33,0,154,63,64,174,18,68,19,36,94,15,27,24,8
Biomedical Engineering,8,45,106,52,48,7,0,81,11,71,12,1,54,16,19,10,6,41,3,16
BioResource and Agricultural Engineering,17,28,75,37,17,11,0,34,8,30,56,0,21,6,33,2,9,18,4,7
Business Administration,24,10,12,24,41,3,2,2,8,22,21,1,15,5,11,3,46,3,4,2
Chemistry,8,23,42,23,25,5,0,102,8,37,10,7,40,15,16,34,0,24,0,0
Child Development,25,3,3,3,4,6,0,24,43,8,12,19,10,5,3,15,1,2,1,2
City and Regional Planning,163,17,46,62,56,11,1,8,23,55,259,8,48,6,31,11,46,7,15,4
Civil Engineering,10,25,78,30,21,5,0,23,8,35,51,0,28,6,14,5,4,24,4,9
Communication Studies,41,1,7,7,10,1,0,2,5,11,11,0,12,3,1,3,4,0,4,0
Comparative Ethnic Studies,513,11,47,58,47,19,16,10,34,42,161,12,55,28,16,38,84,1,83,10
Computer Engineering,9,108,69,53,39,4,5,29,7,54,25,3,52,15,29,5,5,35,4,2
Computer Science,23,304,93,81,53,7,11,72,9,107,60,5,72,40,52,33,15,33,12,19
Construction Management,11,5,24,25,27,0,2,7,6,21,35,2,18,2,16,7,15,9,1,4
Dairy Science,10,12,15,114,22,7,3,64,32,23,49,5,13,11,161,7,24,5,4,2
Economics,14,23,8,8,20,0,1,0,3,18,11,3,8,2,1,1,29,4,1,1
Electrical Engineering,27,284,229,111,90,17,18,51,4,130,56,6,106,28,68,12,24,62,14,13
English,73,19,12,11,11,5,0,1,0,9,6,0,26,77,2,18,2,0,22,9
Environmental Earth and Soil Sciences,115,53,69,260,53,28,3,58,39,50,430,12,47,24,144,21,37,20,18,14
Environmental Engineering,10,19,62,31,16,8,1,36,20,37,54,0,21,4,24,4,7,12,4,3
Environmental Management and Protection,135,40,62,285,64,29,3,68,37,56,460,11,47,22,155,22,42,16,15,16
Food Science,17,8,17,96,16,6,3,51,20,18,35,6,14,8,137,2,4,9,7,5
Forest and Fire Sciences,131,42,54,290,57,29,3,63,43,47,488,12,40,21,170,24,44,18,16,18
General Engineering,6,19,61,30,23,3,2,47,5,40,8,4,28,15,9,5,2,17,0,3
Graphic Communication,9,48,10,58,35,4,2,12,3,20,50,1,23,8,47,0,10,5,7,1
History,123,6,10,6,7,0,0,0,0,6,18,0,9,41,0,7,17,0,9,3
Industrial Engineering,36,86,115,98,75,18,4,27,8,104,102,8,90,10,46,9,37,27,19,10
Industrial Technology and Packaging,3,11,6,12,8,1,1,3,1,9,17,0,4,2,21,2,4,5,3,3
Interdisciplinary Studies,46,4,3,3,4,0,0,2,0,18,6,1,6,1,0,3,7,0,4,0
Journalism,24,12,9,22,12,2,1,0,1,24,11,2,7,14,11,4,14,2,13,1
Kinesiology,50,13,13,18,28,20,4,40,175,20,40,12,34,12,22,16,10,4,17,1
Landscape Architecture,20,9,5,17,5,3,0,6,5,9,31,1,8,1,9,16,1,4,3,2
Liberal Arts and Engineering Studies,29,80,58,46,34,5,8,6,0,45,28,4,40,12,32,5,6,13,6,9
Liberal Studies,232,20,45,53,29,23,5,93,73,24,69,17,55,39,30,144,26,33,54,13
Manufacturing Engineering,36,78,128,100,74,18,4,38,9,92,105,10,87,12,61,7,36,28,19,12
Marine Sciences,37,30,50,59,36,35,2,119,16,53,141,16,54,17,24,64,12,23,27,5
Materials Engineering,14,27,89,44,42,10,5,50,9,50,29,8,48,15,38,35,12,29,7,7
Mathematics,6,43,80,39,37,4,4,15,1,96,12,3,39,14,16,27,9,77,6,6
Mechanical Engineering,11,74,155,67,53,11,7,32,14,73,25,9,76,9,47,7,6,28,18,16
Microbiology,14,29,32,82,29,21,1,128,38,41,37,4,36,13,70,4,5,14,8,1
Music,18,2,4,10,13,9,146,3,0,5,0,0,27,8,2,10,0,0,15,2
Nutrition,37,8,28,52,30,17,6,109,120,26,34,12,31,18,35,11,11,20,9,3
Philosophy,32,2,12,10,9,3,0,9,6,8,11,3,11,1,1,7,5,2,2,6
Physics,12,4,42,13,13,5,0,15,2,24,4,6,27,2,4,0,2,13,4,1
Political Science,164,13,17,24,39,2,0,11,16,22,41,2,15,7,8,2,25,3,16,0
Public Health,121,25,16,35,28,11,2,71,189,35,82,7,23,70,28,19,11,8,11,6
Psychology,101,9,9,9,12,13,0,31,62,12,16,8,22,11,4,18,9,4,9,1
"Recreation, Parks, and Tourism Administration",117,12,26,118,66,14,3,11,30,41,171,15,48,8,75,22,47,8,23,5
Sociology,150,6,29,36,38,0,1,9,30,29,36,6,22,9,15,14,15,1,9,1
Software Engineering,17,258,91,73,49,7,7,75,12,103,61,4,62,38,45,30,12,32,11,18
Spanish,276,22,27,30,40,18,12,8,19,27,91,11,70,100,5,35,44,0,59,68
Statistics,2,38,29,26,25,2,2,2,0,83,4,3,31,7,6,1,0,26,4,3
Theatre Arts,17,6,7,14,12,9,14,5,0,8,3,1,18,9,11,1,1,1,13,3
Wine and Viticulture,39,12,23,140,52,11,1,65,15,28,66,5,30,48,74,4,45,7,8,3
Accounting,2,3,0,1,12,8,0,1,0,0,2,0,0,1,2,0,36,0,1,0
Consumer Packaging,1,3,2,8,6,1,0,1,0,5,9,0,3,1,9,0,3,1,0,3
Entrepreneurship,10,4,3,7,20,2,0,1,0,3,5,1,10,1,6,1,12,0,4,0
"Ethics, Law and Social Justice",73,6,10,8,8,2,0,3,8,8,8,0,7,2,0,1,9,1,4,0
Financial Management,10,16,7,15,17,6,0,7,2,17,17,0,7,7,11,1,91,3,3,2
Global Citizenship and Social Sustainability,169,2,21,24,10,12,0,5,6,10,140,11,20,5,11,4,37,0,28,1
Health and Society,140,10,9,22,4,23,0,26,68,5,121,20,23,4,16,14,12,4,15,1
Industrial Technology,2,6,5,23,24,4,2,0,2,4,15,0,8,0,20,3,11,0,4,1
Information Systems,2,11,3,10,12,0,1,0,0,4,10,1,3,2,7,3,2,0,0,8
Management and Human Resources,5,1,3,12,22,0,7,2,1,3,18,0,8,1,6,6,3,1,0,0
Marketing Management,3,4,3,22,11,2,0,0,0,5,2,0,6,0,6,2,3,0,2,4
Packaging Technology,0,1,1,13,7,3,0,3,0,3,2,0,2,0,16,1,2,0,2,0
Quantitative Analysis,4,17,35,21,22,0,1,0,0,67,5,0,21,2,4,1,16,31,1,5
Real Estate Finance,8,4,5,12,8,2,0,2,1,9,26,0,5,2,8,0,27,1,2,2
"Science, Technology and Society",92,8,15,16,3,16,0,27,11,2,135,21,24,5,9,9,17,1,16,3
Visual Media and Cultural Studies,126,7,18,24,17,7,16,1,0,16,2,0,30,11,8,4,3,0,22,9
"Bioinformatics, Cross Disciplinary Studies",0,21,11,12,12,3,2,40,1,13,3,0,17,6,4,0,0,1,2,0
"Data Science, Cross Disciplinary Studies",0,27,13,14,11,0,2,5,0,34,5,0,15,5,4,4,0,5,0,1
"Heavy Civil, Cross Disciplinary Studies",2,5,12,15,4,0,1,0,0,4,13,0,6,0,8,0,3,0,0,2
