Programs,0,1,2,3,4,5,6,7,8,9
Aerospace Engineering,2,0,39,153,0,61,48,9,7,5
Agricultural and Environmental Plant Sciences,20,12,18,9,28,161,11,1,31,14
Agricultural Business,18,3,6,11,0,75,22,1,17,13
Agricultural Communication,18,3,12,7,6,59,13,0,22,11
Agricultural Science,32,5,19,24,1,169,29,3,18,27
Agricultural Systems Management,13,12,32,55,1,77,30,2,19,9
Animal Science,27,21,18,45,9,179,59,6,107,83
Anthropology and Geography,97,15,13,23,7,48,17,0,15,20
Architectural Engineering,3,0,15,41,0,24,23,1,4,1
Architecture,12,0,2,7,1,5,2,0,1,3
Art and Design,105,3,19,9,6,22,15,2,1,1
Biochemistry,1,3,5,36,0,24,26,0,100,13
Biological Sciences,50,36,30,54,5,74,39,0,113,56
Biomedical Engineering,4,7,42,95,1,49,48,0,64,7
BioResource and Agricultural Engineering,14,12,27,71,0,34,17,0,26,5
Business Administration,23,0,9,12,2,23,36,2,2,5
Chemistry,1,2,23,38,3,22,24,0,82,7
Child Development,23,6,3,3,1,3,4,0,18,14
City and Regional Planning,136,11,16,44,4,58,56,1,8,17
Civil Engineering,4,7,25,73,1,30,19,0,18,5
Communication Studies,35,2,1,7,2,7,9,0,2,2
Comparative Ethnic Studies,446,19,11,47,18,51,45,16,10,22
Computer Engineering,6,3,92,65,10,51,39,4,24,7
Computer Science,14,8,247,84,31,76,52,11,52,7
Construction Management,9,0,5,24,0,25,24,2,7,5
Dairy Science,7,8,11,15,4,77,17,3,44,31
Economics,14,0,22,8,2,8,18,1,0,2
Electrical Engineering,7,15,222,205,16,110,90,16,41,4
English,51,5,19,7,53,11,8,0,1,0
Environmental Earth and Soil Sciences,96,28,53,65,10,222,47,3,43,33
Environmental Engineering,5,9,19,59,0,27,15,0,27,17
Environmental Management and Protection,115,29,40,60,6,237,55,3,52,34
Food Science,14,7,8,17,1,43,16,3,41,18
Forest and Fire Sciences,110,29,42,52,6,243,48,3,47,41
General Engineering,1,3,19,55,2,29,23,2,38,5
Graphic Communication,9,6,46,9,3,49,32,2,11,3
History,104,0,6,7,20,6,7,0,0,0
Industrial Engineering,32,20,84,105,3,94,72,4,19,4
Industrial Technology and Packaging,3,2,10,6,0,11,7,1,3,1
Interdisciplinary Studies,43,1,4,3,1,3,4,0,2,0
Journalism,17,2,12,9,14,22,12,1,0,1
Kinesiology,45,24,12,13,4,15,20,4,31,142
Landscape Architecture,15,3,9,4,1,13,5,0,5,4
Liberal Arts and Engineering Studies,24,4,74,55,10,46,32,8,6,0
Liberal Studies,185,23,19,45,21,45,26,5,74,49
Manufacturing Engineering,32,20,76,116,2,95,72,4,30,5
Marine Sciences,32,36,30,47,4,55,33,2,99,14
Materials Engineering,2,8,27,82,2,43,40,4,42,6
Mathematics,5,6,41,67,10,39,35,3,14,1
Mechanical Engineering,4,15,66,131,2,67,45,7,27,4
Microbiology,10,22,29,32,2,53,26,1,90,37
Music,9,9,2,4,5,7,4,117,3,0
Nutrition,31,18,8,27,4,33,28,6,78,102
Philosophy,23,3,2,10,1,8,9,0,9,6
Physics,11,5,4,37,0,13,13,0,15,2
Political Science,127,2,13,17,5,20,39,0,11,12
Public Health,107,12,25,16,48,27,28,2,53,159
Psychology,95,11,9,8,7,9,11,0,24,30
"Recreation, Parks, and Tourism Administration",106,14,10,26,5,95,62,3,11,20
Sociology,132,0,6,29,4,33,38,1,9,16
Software Engineering,9,8,216,80,28,68,48,7,50,8
Spanish,224,27,22,27,79,30,31,11,8,15
Statistics,1,3,35,27,7,26,23,2,2,0
Theatre Arts,12,9,6,6,3,14,7,13,5,0
Wine and Viticulture,31,11,11,23,35,102,40,1,48,14
Accounting,0,1,3,0,0,1,1,0,1,0
Consumer Packaging,1,1,3,2,0,8,6,0,1,0
Entrepreneurship,10,4,4,3,0,3,17,0,1,0
"Ethics, Law and Social Justice",56,2,6,9,0,7,8,0,3,6
Financial Management,9,2,15,7,1,15,15,0,7,2
Global Citizenship and Social Sustainability,148,12,2,21,2,21,10,0,5,4
Health and Society,129,23,10,9,2,18,4,0,21,48
Industrial Technology,2,4,6,4,0,19,19,2,0,1
Information Systems,1,0,11,3,1,10,11,1,0,0
Management and Human Resources,5,0,1,3,0,9,21,7,2,0
Marketing Management,3,2,4,3,0,22,9,0,0,0
Packaging Technology,0,3,1,1,0,4,6,0,3,0
Quantitative Analysis,4,0,16,30,2,21,22,1,0,0
Real Estate Finance,7,2,4,5,0,12,8,0,2,1
"Science, Technology and Society",87,16,8,14,3,14,3,0,27,11
Visual Media and Cultural Studies,108,7,6,18,10,24,16,16,1,0
"Bioinformatics, Cross Disciplinary Studies",0,4,21,11,2,12,11,2,31,1
"Data Science, Cross Disciplinary Studies",0,0,24,11,5,14,11,2,5,0
"Heavy Civil, Cross Disciplinary Studies",1,0,5,12,0,15,4,1,0,0
