Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Aerospace Engineering,2,34,4,1,0,9,2,0,2,5,99,0,8,0,0,3,0,10,0,0,0,8,11,6,15,0,5,0,2,1
Agricultural and Environmental Plant Sciences,18,13,80,3,4,1,12,11,15,1,13,0,1,14,19,1,6,1,2,2,1,0,25,2,0,12,1,1,10,3
Agricultural Business,11,6,36,10,0,1,3,12,13,4,4,0,0,0,46,0,17,0,5,0,0,0,22,5,0,13,0,0,2,3
Agricultural Communication,10,4,31,5,0,0,5,7,6,1,3,0,0,0,32,1,9,1,0,0,11,0,15,5,1,7,1,0,1,2
Agricultural Science,16,14,64,14,1,3,5,20,30,2,12,0,0,0,60,2,27,1,0,0,3,0,50,7,1,19,1,1,2,1
Agricultural Systems Management,6,26,28,10,4,2,2,3,29,3,24,0,10,0,45,1,12,0,2,0,3,1,42,6,6,4,2,1,11,16
Animal Science,12,14,56,25,3,6,49,54,40,7,12,0,4,5,72,3,30,2,4,1,0,1,23,3,7,21,1,4,5,5
Anthropology and Geography,41,3,20,4,8,0,4,10,66,1,1,0,1,3,6,2,22,0,1,2,2,1,28,1,0,0,0,11,3,0
Architectural Engineering,1,9,1,0,0,1,1,0,1,2,2,0,1,0,0,0,1,4,0,0,1,4,9,2,3,0,25,2,34,1
Architecture,7,0,1,0,0,0,0,1,6,0,0,0,0,1,3,0,1,2,0,0,1,0,2,1,1,0,26,1,49,2
Art and Design,61,4,11,7,3,2,0,0,0,0,4,0,3,1,1,1,4,0,8,2,27,0,1,4,1,3,0,4,6,3
Biochemistry,1,2,4,5,0,0,69,8,4,3,1,0,8,0,1,12,0,5,0,0,0,2,3,1,9,3,0,0,3,0
Biological Sciences,19,18,19,4,11,0,59,42,64,13,10,1,10,3,7,29,9,12,11,0,0,3,34,3,1,0,0,11,2,0
Biomedical Engineering,1,28,6,6,0,0,28,1,4,7,14,0,8,1,3,2,3,9,0,0,5,5,3,2,22,4,5,4,13,7
BioResource and Agricultural Engineering,5,17,13,3,3,0,10,1,11,3,19,0,4,0,4,0,9,5,1,0,4,2,21,4,6,0,6,0,6,0
Business Administration,8,7,0,22,0,2,0,0,0,5,4,0,3,1,3,1,23,0,1,0,0,0,0,4,1,25,0,4,0,5
Chemistry,1,14,4,5,0,0,61,2,3,3,2,0,8,3,0,12,0,8,0,0,0,3,3,2,9,3,0,1,1,0
Child Development,9,0,0,0,1,0,7,1,3,1,0,14,2,0,0,6,0,0,0,0,3,0,0,0,1,0,0,4,0,0
City and Regional Planning,49,8,4,15,9,1,0,5,112,7,8,0,4,1,4,2,30,2,1,0,6,0,23,8,0,4,3,23,9,1
Civil Engineering,0,17,3,0,0,0,8,0,13,2,10,0,5,1,0,0,1,10,4,0,1,5,29,3,7,0,13,1,25,1
Communication Studies,19,0,0,3,0,0,0,0,1,1,1,0,3,1,0,1,3,0,2,0,0,0,1,2,0,1,1,2,2,1
Comparative Ethnic Studies,249,4,14,11,14,13,0,13,37,1,11,1,11,4,5,6,39,0,50,10,1,1,14,0,1,6,1,19,8,3
Computer Engineering,4,56,6,3,3,3,3,2,4,5,13,0,9,10,4,0,1,18,0,0,11,9,1,3,30,2,0,0,12,17
Computer Science,5,119,9,6,2,11,24,1,10,29,26,1,14,28,5,11,5,12,2,0,14,3,2,10,11,5,6,6,19,13
Construction Management,2,3,2,8,0,2,2,2,10,3,3,0,3,0,2,2,9,3,1,0,0,0,8,3,2,7,17,1,60,3
Dairy Science,3,9,30,6,1,3,22,21,7,4,8,0,0,0,83,2,18,2,2,0,3,0,7,2,3,10,1,4,3,4
Economics,1,15,1,9,0,1,0,0,0,5,3,0,0,2,0,1,18,0,1,1,0,1,0,4,1,9,1,0,1,0
Electrical Engineering,1,121,10,8,11,15,15,0,13,13,69,0,8,16,6,8,8,26,0,0,37,33,8,9,55,4,5,1,20,14
English,42,0,1,1,2,0,0,0,0,2,0,0,19,28,0,14,1,0,19,6,2,0,0,0,0,1,0,0,0,0
Environmental Earth and Soil Sciences,48,31,82,10,13,3,12,16,157,4,19,0,2,5,20,3,20,5,0,0,7,5,178,13,6,7,4,16,6,0
Environmental Engineering,2,17,5,0,0,0,14,3,20,7,13,0,3,0,3,0,3,6,2,0,0,6,30,3,3,0,3,0,6,3
Environmental Management and Protection,57,22,83,15,13,3,18,16,181,4,17,0,1,2,23,3,27,3,0,0,7,3,144,10,2,11,2,16,6,0
Food Science,8,7,15,4,0,2,17,12,3,1,7,0,0,0,87,0,3,2,6,0,0,2,9,0,6,5,0,2,2,13
Forest and Fire Sciences,55,24,85,13,13,3,13,18,193,4,20,0,1,2,24,2,25,3,1,0,7,3,173,6,3,7,2,19,7,0
General Engineering,0,14,3,0,0,1,20,0,1,6,6,0,4,2,0,0,1,6,0,0,0,7,5,4,13,0,1,2,5,4
Graphic Communication,2,11,9,20,2,1,2,1,12,1,5,0,9,2,9,0,5,1,5,0,48,0,1,10,7,24,5,6,5,53
History,75,0,0,1,0,0,0,0,2,0,1,0,0,12,0,6,13,0,6,3,0,0,0,0,0,0,1,2,1,0
Industrial Engineering,9,66,10,10,15,4,6,0,21,17,27,0,14,2,8,0,18,7,2,0,4,4,14,7,20,13,9,15,12,15
Industrial Technology and Packaging,0,6,1,6,0,1,1,0,4,1,4,0,3,0,9,0,2,0,2,0,1,0,0,2,2,7,0,0,2,11
Interdisciplinary Studies,18,1,0,1,0,0,0,0,0,4,1,0,0,1,0,2,4,0,3,0,0,0,0,0,0,1,0,11,0,0
Journalism,8,0,8,5,2,1,0,0,1,5,3,0,0,0,0,0,2,0,5,0,27,0,0,3,2,3,0,1,0,0
Kinesiology,11,7,2,11,5,4,16,97,5,2,6,1,11,2,2,0,2,0,15,1,3,0,1,14,4,0,1,13,1,0
Landscape Architecture,10,1,4,2,1,0,1,2,14,1,0,0,1,0,2,2,1,1,0,0,6,0,7,3,0,2,0,3,10,1
Liberal Arts and Engineering Studies,11,43,8,6,3,7,1,0,2,6,16,0,5,9,3,4,3,4,2,3,14,3,5,3,6,4,6,7,12,21
Liberal Studies,116,9,17,8,4,5,25,30,13,2,3,7,23,9,7,45,16,14,21,5,0,1,14,7,3,0,3,8,6,2
Manufacturing Engineering,9,63,12,12,14,4,10,0,21,8,28,0,16,2,13,0,19,7,3,0,4,4,14,5,35,16,9,15,15,22
Marine Sciences,12,19,5,5,17,2,43,7,40,10,7,0,5,3,2,22,9,10,7,0,1,2,23,2,2,4,1,12,4,0
Materials Engineering,1,20,5,8,4,4,15,1,12,5,7,0,6,1,4,9,6,8,2,0,0,6,4,5,40,6,4,0,18,22
Mathematics,1,22,1,2,0,3,2,0,2,27,3,1,3,9,3,2,3,50,5,1,0,16,4,9,8,1,0,2,6,1
Mechanical Engineering,1,53,12,0,0,7,4,0,3,4,39,0,17,1,5,1,2,8,13,0,5,4,15,2,53,2,6,4,21,25
Microbiology,6,19,21,3,1,1,51,25,8,7,13,0,5,2,40,2,4,3,6,0,0,2,12,2,1,1,0,2,3,4
Music,8,1,1,0,0,88,0,0,0,0,0,0,16,0,1,9,0,0,12,0,1,0,0,0,0,2,0,1,1,0
Nutrition,10,5,11,9,4,5,37,75,2,3,4,3,4,1,20,0,7,5,8,0,0,3,3,0,1,3,0,4,2,1
Philosophy,15,2,0,1,2,0,0,2,4,0,3,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,1,1,0
Physics,6,2,0,0,4,0,3,0,4,0,0,0,1,0,0,0,0,6,0,0,2,17,0,3,10,0,0,0,2,2
Political Science,77,7,3,19,1,0,0,2,6,3,12,0,0,4,2,0,10,0,5,0,0,0,4,1,1,4,1,2,2,0
Public Health,36,9,7,15,3,2,21,109,24,11,7,1,2,27,7,6,5,1,3,4,2,0,2,2,3,2,1,15,3,0
Psychology,41,4,0,4,3,0,7,8,2,1,5,3,5,3,0,1,1,0,5,0,0,0,0,4,2,1,0,9,1,0
"Recreation, Parks, and Tourism Administration",45,6,10,33,9,2,0,10,54,5,5,0,9,1,26,3,21,1,11,0,8,0,9,20,0,40,6,19,8,2
Sociology,46,1,6,14,0,1,1,1,7,1,6,4,1,3,3,3,5,0,3,1,0,0,1,4,0,4,1,13,3,0
Software Engineering,2,110,4,4,2,7,25,1,10,28,23,0,10,26,5,9,4,9,2,0,6,5,1,9,11,4,6,6,16,12
Spanish,114,1,3,5,9,9,0,8,19,0,2,2,32,25,0,17,25,0,34,67,2,0,7,0,0,3,1,13,9,3
Statistics,1,21,0,0,0,2,0,0,0,31,7,0,3,5,3,0,0,11,3,0,0,2,1,4,0,0,0,0,3,0
Theatre Arts,7,2,6,1,4,12,0,0,0,2,0,0,9,2,0,1,1,0,8,1,1,0,0,1,1,1,7,2,15,5
Wine and Viticulture,15,5,43,22,1,1,25,7,10,1,5,0,5,17,23,3,24,1,3,3,4,1,14,2,0,33,3,6,5,8
Accounting,0,3,0,1,1,0,0,0,0,0,3,0,0,0,1,0,15,0,0,0,0,0,1,0,0,1,0,0,0,0
Consumer Packaging,1,1,0,4,1,0,0,0,5,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,7,0,1,1,22
Entrepreneurship,1,4,0,15,0,0,0,0,2,1,0,0,8,0,6,0,4,0,4,0,0,0,0,3,0,14,4,3,4,0
"Ethics, Law and Social Justice",25,4,0,1,1,0,0,1,2,0,7,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,5,1,0
Financial Management,0,11,1,7,2,0,0,0,0,4,4,0,0,1,1,1,40,3,0,1,0,1,1,0,0,10,1,0,1,0
Global Citizenship and Social Sustainability,57,0,7,2,12,0,0,0,44,0,2,0,1,2,3,0,25,0,2,1,1,0,13,0,1,0,2,15,7,0
Health and Society,44,6,10,0,14,0,3,30,41,0,7,2,0,1,4,4,11,1,0,0,2,1,7,0,2,0,0,19,5,0
Industrial Technology,0,6,3,14,2,2,0,0,4,1,5,0,6,0,7,1,6,0,2,0,0,0,0,2,1,20,3,3,6,22
Information Systems,1,7,0,8,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1,8,1,3,1,0
Management and Human Resources,0,1,0,13,0,7,0,0,4,0,1,0,5,0,0,0,1,0,0,0,0,0,0,3,0,10,3,7,3,0
Marketing Management,1,1,0,6,0,0,0,0,0,1,0,0,2,0,4,0,0,0,2,0,3,0,0,0,0,25,0,1,0,0
Packaging Technology,0,1,1,5,2,0,0,0,1,1,1,0,1,0,12,1,1,0,1,0,0,0,0,1,1,4,0,0,1,22
Quantitative Analysis,0,14,0,4,0,1,0,0,0,21,1,0,1,1,2,0,7,19,0,0,0,10,1,3,1,7,0,1,1,0
Real Estate Finance,0,3,1,3,2,0,0,0,4,3,1,0,0,0,0,0,20,0,0,1,0,1,4,1,1,2,1,0,2,0
"Science, Technology and Society",38,4,6,1,15,0,0,6,53,0,3,0,1,2,2,2,13,1,1,3,2,0,7,0,0,0,0,17,6,2
Visual Media and Cultural Studies,74,1,8,0,6,14,0,0,0,0,1,0,11,3,0,2,1,0,15,9,3,1,1,0,0,0,0,6,2,1
"Bioinformatics, Cross Disciplinary Studies",0,11,0,1,0,2,21,0,0,2,2,0,4,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0
"Data Science, Cross Disciplinary Studies",0,13,0,1,0,2,0,0,0,12,2,0,2,4,0,0,0,4,0,0,0,0,0,3,0,0,0,0,2,0
"Heavy Civil, Cross Disciplinary Studies",0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,34,1
