Programs,0,1,2,3,4,5,6,7,8,9
Aerospace Engineering,10,2,95,266,15,63,49,9,7,16
Agricultural and Environmental Plant Sciences,25,19,28,24,35,221,45,1,44,19
Agricultural Business,23,16,18,16,4,113,48,1,24,20
Agricultural Communication,21,14,19,12,11,84,32,0,32,16
Agricultural Science,45,11,38,38,7,220,70,3,28,34
Agricultural Systems Management,21,18,64,86,9,114,40,2,25,22
Animal Science,36,37,48,68,27,237,113,6,196,111
Anthropology and Geography,122,19,26,26,30,64,26,1,22,30
Architectural Engineering,5,2,38,63,4,25,24,1,4,9
Architecture,17,0,4,13,2,6,3,0,1,6
Art and Design,125,11,28,18,15,22,26,2,7,3
Biochemistry,12,11,25,42,15,41,29,0,154,27
Biological Sciences,58,55,65,68,30,112,50,0,185,74
Biomedical Engineering,13,16,101,137,20,54,53,0,96,18
BioResource and Agricultural Engineering,17,14,54,104,10,39,22,0,36,15
Business Administration,27,5,22,16,11,29,41,2,2,9
Chemistry,12,11,41,56,16,38,27,0,113,21
Child Development,26,7,6,4,5,5,6,0,30,49
City and Regional Planning,182,17,55,54,24,74,60,1,8,29
Civil Engineering,11,9,49,104,9,33,21,0,24,13
Communication Studies,45,4,8,9,5,7,10,0,2,5
Comparative Ethnic Studies,555,74,53,51,70,68,56,16,10,37
Computer Engineering,13,20,169,93,17,59,44,5,30,18
Computer Science,31,22,362,142,43,92,60,11,80,16
Construction Management,11,4,19,32,4,26,28,2,7,9
Dairy Science,12,17,22,27,12,126,38,3,72,43
Economics,14,1,31,13,2,10,21,1,0,3
Electrical Engineering,31,27,426,305,36,119,99,18,56,16
English,80,22,26,12,94,12,12,0,1,0
Environmental Earth and Soil Sciences,122,33,88,101,42,288,81,3,63,56
Environmental Engineering,13,11,34,94,10,34,18,1,41,30
Environmental Management and Protection,141,33,76,82,37,315,90,3,76,52
Food Science,20,23,17,28,12,98,25,3,54,29
Forest and Fire Sciences,137,35,74,74,36,318,85,3,70,61
General Engineering,6,5,42,81,19,36,24,2,51,10
Graphic Communication,13,11,57,18,11,59,43,2,15,6
History,132,6,13,10,50,8,7,0,0,0
Industrial Engineering,41,24,156,164,22,102,85,4,29,14
Industrial Technology and Packaging,4,2,14,10,5,12,9,1,3,3
Interdisciplinary Studies,49,5,7,6,3,5,4,0,2,0
Journalism,32,7,21,13,15,23,18,1,1,1
Kinesiology,52,27,22,30,13,27,28,4,48,202
Landscape Architecture,23,5,12,8,1,17,6,0,7,6
Liberal Arts and Engineering Studies,33,11,117,82,15,47,42,9,6,5
Liberal Studies,264,60,40,57,58,77,35,5,108,91
Manufacturing Engineering,41,29,149,173,26,103,86,4,41,19
Marine Sciences,41,68,58,64,32,77,39,2,131,21
Materials Engineering,18,22,58,112,19,55,46,5,51,23
Mathematics,6,13,78,117,20,45,38,4,15,8
Mechanical Engineering,16,31,140,210,17,72,61,7,32,30
Microbiology,15,28,52,48,13,92,39,1,153,43
Music,18,12,6,5,8,10,14,170,3,0
Nutrition,39,32,25,35,18,59,35,6,135,133
Philosophy,42,12,12,13,3,12,9,0,10,9
Physics,13,14,17,59,5,13,13,0,15,6
Political Science,184,16,30,25,17,37,41,0,13,16
Public Health,126,21,38,27,75,54,32,2,82,214
Psychology,104,22,18,14,12,16,12,0,38,66
"Recreation, Parks, and Tourism Administration",125,31,37,34,22,127,74,3,12,34
Sociology,164,8,31,32,17,43,43,1,10,35
Software Engineering,23,18,314,138,42,84,51,7,80,18
Spanish,316,48,49,28,159,37,45,12,9,23
Statistics,2,5,65,51,7,27,25,2,2,0
Theatre Arts,20,14,12,7,11,14,18,16,6,3
Wine and Viticulture,40,17,29,29,52,149,79,1,71,17
Accounting,2,8,3,4,1,1,12,0,1,0
Consumer Packaging,1,1,5,3,2,8,6,0,1,2
Entrepreneurship,10,4,7,3,1,7,20,0,2,0
"Ethics, Law and Social Justice",84,4,15,14,2,11,8,0,6,9
Financial Management,12,7,22,13,7,22,18,0,7,2
Global Citizenship and Social Sustainability,193,18,12,21,24,28,13,0,5,6
Health and Society,145,29,15,15,18,26,8,0,33,77
Industrial Technology,4,4,10,9,2,23,27,2,0,4
Information Systems,2,0,15,4,2,10,12,1,0,0
Management and Human Resources,5,1,4,4,2,13,22,7,2,2
Marketing Management,3,2,7,3,0,22,11,0,0,0
Packaging Technology,0,6,2,2,0,13,8,0,4,1
Quantitative Analysis,4,0,36,55,4,22,22,1,0,1
Real Estate Finance,8,2,8,7,2,12,9,0,2,1
"Science, Technology and Society",98,43,10,17,21,19,4,0,27,14
Visual Media and Cultural Studies,141,22,24,19,24,24,25,16,1,0
"Bioinformatics, Cross Disciplinary Studies",0,5,31,14,6,15,12,2,49,3
"Data Science, Cross Disciplinary Studies",0,5,40,26,5,15,11,2,5,0
"Heavy Civil, Cross Disciplinary Studies",2,0,11,12,0,15,5,1,0,0
